"id","job_id","responsibility"
"214","599","??????? ???????? ??????????"
"218","601","?????? ????????"
"219","601","?? ??????"
"220","602","Oziq ovqat dokonda ish ko'rsatish"
"221","603","Improving user experience"
"222","603","Implementing new features"
"223","603","Collaborating with team members"
"224","604","Mahsulotga qiziqqan mijozlar bilan bogÆlanib sotuvni amalga oshirish"
"225","604","Bor mijozlar bazasi bilan ishlab borish va qayta sotuvlarni taÆminlash"
"226","606","Carrying out job responsibilities"
"227","606","Attending meetings"
"228","606","Completing tasks on time"
"229","607","????? ????????????? ?????? ??????"
"230","607","??????? ???????"
"231","607","?????? ????? ???????????? ???????"
"232","607","???????? ????? ??????? ???????"
"233","608","Process official documents"
"234","608","Provide logistic services"
"235","609","Mas'uliyatli bo'lish"
"236","609","Ishga o'z vaqtida kelish"
"237","609","Kampaniyamiz ichki tartib qoidalariga qat'iyan rioya qilish"
"242","611","O'zbek tilida ravon soæzlasha olish"
"243","611","Ishga ma'suliyat bilan yondashish"
"244","611","Tashki koærinishiga e'tiborli boælishi"
"245","612","?? ????? ??????? ???????"
"246","615","Masuliyatni sezishi"
"247","615","Intuiluvchan, oz ustida ishlashni biladigan"
"248","615","Torgovyi agentlikda ishlagan bulishi kerak"
"249","615","Hushmuomila va gapga usta bulishi"
"250","615","Ishga kozini yonib turgan kadrni kutib qolamiz"
"251","616","Telefon muloqotlarini kechirish"
"252","616","Clientlar bilan xushmuomalalikda axborot almashish"
"253","616","Bank sohasida aktiv yoki passiv operatsiyalarni amalga oshirish"
"254","617","Fullstack dasturchiman"
"255","617","Yordamchi kerak"
"256","618","Software development using Html, Css, Javascript, React, Next"
"257","619","Dastafchilik vazifalari"
"260","621","?? ????? 09:00-18:00"
"261","621","???? ????????? ????? ???????"
"262","621","????? ?????? ????? ??????"
"263","621","???? ?????? ?????????? ???? ?????"
"265","624","Hamjamiyatimizda soha mutaxassislarini topishingiz va kelishuv asosida suratga olish jarayonlariga jalb qilishingiz mumkin bo'ladi."
"266","625","6 kunlik ish/1 kun dam"
"267","625","Smena 1 hafta kunduzi, 1 hafta kechqurun"
"268","626","??????? ?????? ??????? ???????"
"269","626","??????? ?????????????? ????? ?????"
"270","627","Og'irligi paytida ish"
"271","628","Various responsibilities based on job position."
"276","631","Operator bo'lish"
"277","631","Ma'lumotlarni to'g'ri taxlil qilish"
"278","631","Muloqotga kirishish uchun tayyorgarlik"
"279","632","Kompaniya ichki tartib qoidalariga rioya qilish"
"280","632","Ish dagi mas'uliyatni bajarish"
"281","633","?????????? ?????"
"282","633","???????? ???? ????"
"283","633","????????? ?????"
"284","633","???????? ??????????"
"285","634","??????????? ???????? ???????"
"286","634","????? ????????? ????"
"287","634","????????? ??????????????"
"288","634","????????? ?? ?????? ???????"
"289","634","???? ?????????????"
"290","634","???? ??????????"
"291","635","Mijozlarga kompyuter xizmatlari boÆyicha maslahat berish"
"292","635","Kompyuterda matn terish, hujjatlarni chop etish va pereplyot qilish"
"293","635","Mijozlar buyurtmalarini qabul qilish va bajarish"
"294","636","???????? ????? ???? ?????? ????"
"295","636","???????? ???????????? ???? ?????? ???"
"296","637","Uzoqdan kelganlar yotoqxona bilan ta'minlanadi"
"297","637","11:00 - 23:00 ish vaqti"
"301","639","masuliyat"
"302","639","ishga oÆz vaqtida kelish"
"303","639","chiroyli muomila"
"304","639","ozodalik"
"305","641","Birgalikda loyihalar qilish"
"306","641","Yangi texnologiyalar o'rganish"
"307","641","Bilganlarimizni mustahkamlash"
"308","642","Amaliyot qilib tarjiba orttirish"
"309","643","Front-End development"
"310","643","Collaborating with team members"
"313","649","Shogirdlarga yordam berish"
"314","649","Murojaat qilish vaqtlarida tayyor bo'lish"
"315","649","Texnologiyalarni o'rgatish"
"316","650","qilgan ishida xatoliklarni injiqlanmasdan tog'ri qabul qilish"
"317","650","Jamoada ishlash"
"318","650","offlayn ishlashga tayyor bo'lish"
"319","653","mashinalarni boshqarish"
"320","653","vazifalarni bajarish va xavfsizlik qoidalariga rioya qilish"
"321","653","shpon va MDF bilan ishlash"
"322","655","3 mahal issiq ovqat berish"
"323","655","Uzoqdan keluvchilar uchun tekin yotoq joy bor"
"324","656","Ishga vaqti bilan ishlash"
"325","656","Yotoq joyning tozaligini saqlash"
"326","657","????? ???????: ??????? - ?????"
"327","657","?? ?????: 09:00 ??? 19:00 ????"
"328","658","Gilam yuvish"
"329","658","Dostavkada yurish"
"330","658","Upakovka qilish"
"331","659","?????????? ???????? ??????????? ? ????????"
"332","659","???????????? ???????? ? ???????????? ? ????????? ???????????"
"333","659","????????? ??????? ???????? ?????"
"334","659","????? ? ?????? ??????? ????????"
"335","659","?????????? ????? ?? ????????"
"336","660","3-4 soat harakat"
"337","661","Ish vaqti: 08:00 dan 19:00 gacha"
"338","661","3 mahal ovqat beriladi"
"339","662","Gilam yuvish"
"340","664","??? 25 ????? 45 ?????? ????????????? ?? ????? ???????"
"341","665","?????? ????????"
"342","665","???????? ?????"
"343","665","??????????? ??? ?????"
"344","666","?? ????? 8:00-21:00"
"345","666","2 ????? ???? ?????"
"346","667","????? ? ?????? ??????? ????????"
"347","667","?????????? ???????? ??????????? ? ????????"
"348","667","????????? ??????? ???????? ?????"
"349","667","???????????? ????????"
"350","667","?????????? ????? ?? ????????"
"351","668","Sotuv va mijozlarga xizmat ko'rsatish"
"352","668","Xaridorlar bilan ishbirlash"
"353","668","Kassirlik va universal xizmatlar"
"354","669","Sotish va mijozlarga xizmat ko'rsatish"
"355","669","Hisob kitobga yordam bera olish"
"356","670","Mahsulot haqida ma'lumot berish"
"357","670","Smartap'da ishlay olish"
"358","670","Bozor yo?nalishida sotish"
"359","670","Yangi Mijoz bazasini shakillantirish"
"360","670","Ichki nizomlar va qoidalarga rioya qilish"
"361","670","Toshkent propiskasi boÆlishi va Toshkentda yashashi majburiy"
"362","670","Mahsulotni HOREKA va Ritel yo`nalishlarida sotish"
"363","671","???? ????????"
"364","671","????????? ?? ?????? ???????"
"365","671","???????????? ? ????????"
"366","671","???????? ????????"
"367","671","????? ??????????????? ?? ???? ??????"
"368","671","???? ????????????"
"369","672","Ish vaqti: 16:00 - 23:00"
"370","672","Oylik maoshi 2.500.000 dan 3.000.000 kamida 1 yil stajga ega bo?lishi kerak"
"371","673","Achieve sales targets"
"372","673","Handle calls in the call center"
"373","673","Work in a team environment"
"374","673","Maintain professionalism in communication"
"375","673","Career advancement opportunities"
"376","674","Viza ishlarini muvofiqlashtirish, aviatsion sohalar"
"377","677","Ishni deadlinega ko'ra bitirish"
"378","679","ishga sifatini toliq nazot qlishi"
"379","681","Sales through messaging and phone calls"
"380","681","Ability to work in CRM system"
"381","681","Order processing"
"382","681","Informing about the product"
"383","681","Hot leads"
"384","681","Data entry and processing in CRM system"
"385","681","Phone negotiation skills, business communication knowledge, persuasion skills"
"386","681","Proper client file completion"
"387","681","Calling potential client base"
"388","682","Uzoq vaqt bir joyda ishlab koÆtatilish niyatida ishlash"
"389","682","Xalol, toÆliq ishlamoqchi bo'ganlar bezovta qilsin"
"390","683","Makaron maxsulotlari ishlab chiqarish"
"391","684","Jamoa bilan ishlash ko?nikmasini shakillantirish"
"392","684","Dasturlash kasbini o?rganish"
"393","685","?????????? ???????? ??????????? ? ????????, ???? ???????? ???????"
"394","685","????? ? ?????? ??????? ????????"
"395","685","?????????? ????? ?? ????????"
"396","685","???????????? ???????? ? ???????????? ? ????????? ???????????"
"397","685","????????? ??????? ???????? ?????"
"398","686","Taksapark uchun xavfsiz va samarali haydovchilik"
"399","687","???????? ????? ???????? ???????"
"400","687","???? ???????????? ??????, ???????? ?? ?????"
"401","688","Xizmat ko'rsatish"
"402","688","Sotish"
"403","689","3 mahal be pul issik o'vqat va etoxona bilan taminlaymiz"
"404","690","Damas mashinasi berish"
"405","690","Xarajatlarni qo'llash"
"406","690","Ish vaqti 80:30 - 18:00 gacha"
"407","690","Maosh 4000000 - 6000000 so'm"
"408","691","Do'konga kelgan mijozlar bilan ishlash va mahsulotlar bilan tanishtirish"
"409","691","Do'konga kelgan mijozlar ehtiyojini o'rgangan holda ularga mos mahsulotlarimizni taklif qilish va sotish"
"410","691","Mijozlar bazasini shakllantirish va ularni kengaytirish"
"411","693","Model qizlarni tanlash, dolzarb usullarini qo'llash, fotosessiyalar o'tkazish"
"414","695","??????? ? ???????? ? ???????? ??????-?????????"
"415","695","?????????? ? ????????? ?????? ? ??????"
"416","695","????????????????? ?????????????? ??????"
"417","695","????????? ????????????? ? ????????????????"
"418","696","???????? ?????"
"419","696","?????-????? ??????"
"420","696","?????????? ????? ?????"
"421","697","??????????? ????? ????????? ????? ???????????? ???? ?????? ??????"
"422","698","Amaliyot o'tash"
"423","698","24 soatlik murojaat"
"424","700","Mdf eshik va mebel sexiga malakali ustalarni ishga taklif qolish"
"425","701","Dazmolchi"
"426","701","Qadoklovchi"
"427","701","Malakali tikuvchi"
"428","703","Yigitlar"
"429","703","Uy bekalar"
"430","703","Qo'shimcha ish o'rinlari"
"431","703","Qizlar"
"432","703","Talabalar"
"433","704","TUNIKAFON USTALA"
"434","704","ALIKAFON USTALARI"
"435","704","AKFA USTASI"
"436","704","DURADGOR UNIVERSAL USTA"
"437","704","MEBEL USTASI"
"438","704","PAYVANDCHI ( SVARCHIK )"
"439","705","Provide information about the product to interested clients"
"440","705","Sales"
"441","706","24 soat ish va 2 kun dam olish kuni"
"442","707","Adhere to safety regulations"
"443","707","Serve 3 meals daily"
"444","707","Maintain cleanliness of work area"
"445","707","Provide nutritious snacks"
"446","709","Brigada faoliyatini bajarish"
"447","709","Ishning ommaviy qilmishiga, me'yori va energiya sarf etishiga aÆlochixlik qilish"
"448","709","Barcha berilgan vazifalarni bajarish"
"449","709","Ish faoliyatida birgalikda ishlash"
"450","710","Ijtimoiy tarmoqlarda kontent-rejani ishlab chiqish va yuritish."
"451","710","Targetologlar va grafik dizaynerlar uchun texnik topshiriqlar tayyorlash."
"452","710","Smm, Copywriting, Target, Mobilografiya, Montaj bilan bemalol ishlay olish."
"453","710","Auditoriya faolligini monitoring qilish va foydalanuvchilarni jalb qilish."
"454","710","Kreativ kontent yaratish."
"455","710","Kampaniyalar samaradorligini tahlil qilish va muntazam hisobot berish."
"456","710","MaÆlumotlarni tahlil qilish va kontentni optimallashtirish boæyicha tavsiyalar berish."
"457","711","?????????? ????????? ??????? ?????????? ? ??????????? ??????? ?????????????????? ? ????????????????."
"458","711","?????????? ????????? ??????????? ?????????? ????? REST API."
"459","711","?????? ? ???????? ??? ??????????? ????????? ? ???????????? ???????????????? ?????????."
"460","711","??????? ? ?????????????? ? ??????????? ?????????????."
"461","712","Conducting calls in Russian language"
"462","712","Being responsible and articulate in communication"
"463","714","Ish vaqti 8:30 dan 17:30 gacha"
"464","714","Qonuniy ishga qabul qilinadi hujjatlar asosida"
"465","714","Ish yil davomi da bo'ladi"
"466","715","Afitsan(ka) ishchi"
"467","715","Uborkaga 2 smena"
"468","716","?????????? ??????????? ?????"
"469","716","??????????? ??????? ???????? ???????"
"470","717","Tajriba talab etiladi"
"471","718","Tikish bilish"
"472","718","Tikuvchilik mehnati"
"473","719","Achieving sales targets"
"474","719","Signing contracts"
"479","721","???????? ?????"
"480","721","????-????? ?????"
"485","723","Consulting bo'limida sotuv menejeri sifatida ishlash"
"486","723","Ingliz tili va matematika darslarini o'qitish"
"487","724","???????? ?????? ???????????"
"488","724","??? ???????? ??? ?? ?????? ?????????"
"489","724","????????? ????? ??? ??????? ??????? ????????????"
"490","724","??????"
"491","724","?? ????? ???? ????????? ?? ??????? ????? ??????????"
"492","725","Qizlar"
"493","725","Yigitlar"
"494","725","Uy bekalari"
"495","725","Talabalar"
"496","725","Maqtal o'quvchilari"
"497","726","??????? ?????"
"498","726","??????????? ?????? ????"
"499","727","Ishlash davomiyligi uzoq muddatga"
"500","727","Yosh chegarasi: 20 dan 35 yoshgacha"
"508","731","09:00dan 21:00gacha"
"509","732","Eng rivojlangan yonalishlar boyicha ish olib borish"
"510","733","Rezyume bilan murojaat qilish"
"511","733","O'z ustida ishlaydigan ma'sulyatli berilgan topshiriqlarni vaqtida bajarish"
"512","734","1-smena 8:30-16:00, 2-smena 16:00-21:00, To'liq smena 8:30 - 19:00"
"513","734","Ish grafigi: 6/1 Haftada 1 kun dam"
"514","734","Ish o'rgatiladi, o'zini ko'rsata olgan hodimlar rag'batlantiriladi"
"515","736","1 soat tuhlikka tanafrus beryapti"
"516","736","Dam olis kuniga yana talablar"
"517","738","Sotuvni oshirish hodimlarga oÆrgatish"
"518","738","Imidj, hush mufol va O'zbek tilida gaplashish"
"519","739","Capture quality footage"
"520","739","Manage equipment"
"521","739","Edit videos"
"522","740","Interyer uchun zamonaviy parda dizaynlarini ishlab chiqish va yaratish."
"523","740","Loyihalarni amalga oshirish uchun ustalar va montajchilar bilan muvofiqlashtirish."
"524","740","Mijozlar uchun eskizlarni ishlab chiqish va takliflarni vizualizatsiya qilish."
"525","740","Pardalar uchun matolar, ranglar va aksessuarlarni tanlash."
"526","740","Mijozlar bilan maslahatlashuvlar o'tkazish, ularning istaklarini hisobga olish."
"527","740","Salonda ekspozitsiyalarni ishlab chiqish va loyihalashda ishtirok etish."
"533","742","Sell hostel accommodation"
"534","742","Maintain cleanliness and order"
"535","742","Work from 08:00 to 19:00 daily"
"536","743","Providing advice and services to customers"
"537","743","Preparing products for sale"
"538","743","Checking the model, quantity, price, packaging condition, and appearance of goods"
"539","744","Tanzif kimyoviy tozalashga gilam yuvishni bajarish"
"540","744","Ish stavkalariga muvofiq ishlash"
"541","744","Kompaniya qoidalariga amal qilish"
"542","745","Rahbariyatning talablariga muvofiq ishlab chiqarish topshiriqlarini bajarish"
"543","745","Sexda ishlash"
"544","746","Communication in Uzbek language"
"545","746","Developing both backend and frontend components"
"546","746","Translation of text in English and Russian"
"547","747","Haftalik savdo nuqtalarini belgilangan tartibda tekshirish"
"548","747","Belgilangan joylardagi do'kon va sotuv bo'limlariga kunlik tashriflarni amalga oshirish"
"549","747","Qarz miqdorlarini tekshirib borish va xaridorlarni xabardor qilish"
"550","747","Sotuvning merchandayzing qismini bajarish"
"551","747","Jamoa bilan majlislarda qatnashish"
"552","747","Savdo nuqtalarini rivojlantirish"
"557","749","Like posts"
"558","749","Watch and like videos"
"559","749","Download and share promotions"
"560","749","Join as a member"
"561","749","Write comments"
"562","750","Providing quality customer service"
"563","750","Working at call center"
"564","751","Kundalik hisobotlar"
"565","751","QoÆngÆiroqlarga javob berish"
"566","752","Doimiy o?sish imkoniyati"
"567","752","Shinam ofis"
"568","752","Ahil jamoa"
"569","752","Qulay lokatsiya"
"570","753","Yotoqxona tuliq sharoitlar bilan taminlanadi"
"571","753","profissional ofitsant"
"572","753","Hamma sharoiti bor"
"573","753","Barcha narsa tuliq tartibda va nazoratda hech qanday muammolarsiz bo'ladi"
"574","753","Profissional oshpaz fastfoodga"
"575","753","Ovqatlanish 3mahal restoran hisobidan"
"576","755","Teamwork"
"577","755","Adapting to modern conditions"
"578","755","Opportunity for timely payment of salary and bonuses"
"579","755","Career advancement opportunities"
"580","755","Adhering to work and rest regulations"
"583","758","Ish grafigi: 16:00 - 23:00 (2-smena)"
"584","759","18-22 yosh bolalar"
"585","759","1-2 oy ishlanib, bezovta keladi"
"586","759","Etok joy"
"587","759","Ovkatlani? bepul dukon hisobidan qilib beriladi"
"588","760","Ijtimoiy tarmoqlar orqali daromad qilish"
"589","761","Jamoaga moslashuvchan bo'lish"
"590","761","O'z vaqtida beriladigan issiq ovqat"
"591","761","Sinovdan o'tganlar rasmiy ishga qabul qilinadi"
"592","762","?? ????????: 09:30-19:00"
"593","762","?? ???????: 6 ???"
"595","764","3 mahal ovqat"
"596","764","Ishlashiga qarab oylik ko'tarilib beriladi"
"597","764","Yotoq va oziq-ovqat tekin"
"598","764","Yashash uchun barcha sharoit bor"
"599","764","Ahil jamoa"
"600","765","Tug'ilgan savollarga javob berish"
"601","765","O'quvchilarning maqsadlariga erishishiga yordam berish"
"602","765","Muamolalarga yechim topish va nazorat qilish"
"603","765","Kurs o'quvchilarini olayotgan bilim va ko'nikmalarini sinashga yordam berish va nazorat qilish"
"604","765","O'quvchilarni darsga samarali qatnashishga yordam berish"
"605","766","Ish rayonini tanlash"
"606","766","Avtomobilda, velosipedda yoki piyoda xizmat koærsatish"
"607","767","????????? ?????? ?????????? ??????????????? ?????? ?????"
"608","769","Darslar chetda 3 kun 2 soatdan olib boriladi"
"609","769","Ukash haftada 3 marta 2 soatdan davom etadi"
"610","769","Bolalar va kattalar massajining amalga oshirish"
"611","770","Word va Excel-da ishlash"
"612","770","Kampyuteri tushunishi"
"613","771","Kirishimlilik"
"614","771","Insoniylik jihatlari"
"615","771","Menejment haqida tushunchasi borligi"
"616","771","O'ziga va jamoaga bo'lgan talabchanlik"
"617","771","Topshirilgan ishni aniq bajarishi"
"618","772","6 kunlik ish/1 kun dam"
"619","772","Smena 1 hafta kunduzi, 1 hafta kechqurun"
"620","773","Islatish va kelishilgan mashg'ulotlar bilan shug'ullanish"
"621","774","Operate computer systems efficiently"
"622","774","Attend to customer needs in a timely manner"
"623","775","Kontaktlar bilan ishlash"
"624","775","Ish uchun zarur qo'llab-quvvat"
"625","775","Mijozlarga xizmat ko'rsatish"
"626","775","Ish stolini saqlash"
"627","776","????? ?? ?????? ?????"
"628","776","???????? (????? ???????? ????)"
"629","776","???? ????? ????? ?????"
"630","777","???????? ????? ?????????? ?????"
"631","777","?????aviy, shinam Ovistda ishlaysiz"
"632","778","??????????? ????? ?????"
"633","779","ToÆy liboslari ishlab chiqarish Fabrikasining boÆsh ish oÆrinlarida boshqarish va yo'riqchi boÆlish."
"634","780","Mashinist bo'lish"
"635","780","O'z vaqtini baxsh etish"
"636","780","Amalga oshirish"
"637","781","After effects va premier proda iahlashni bilishi"
"638","781","Kreativ fikrlash"
"639","781","Kameradan full foydalana bilishi"
"640","781","Biznesga qiziqish"
"641","782","????? ?????? ?????"
"642","782","?? ?a???????? ???? ?????"
"643","782","?????? ???? ????????"
"644","783","materiallarni tayyorlash va ularni yig'ish"
"645","783","MDF va LDSP bilan ishlash"
"646","783","mebel yig'ish"
"647","784","??????? ????"
"648","784","?????? ???????? ? ??????? CRM"
"649","784","?????????????? ? ????????"
"650","784","?????????? ???????"
"651","784","?????????? ?????????? ???????? ???????"
"652","784","??????? ?? ????????? ? ?? ????????"
"653","784","?????? ??????? ?????????? ???????????, ?????? ???????? ??????? ???????, ?????? ?????????"
"654","784","????? ???? ? ????????? ?????? ? CRM-??????? ? ??????? ??? ?????????? ??????????"
"655","784","?????? ????????????? ?????????? ????"
"656","785","Sotuv bo'yicha qimmatli mahsulotlar sotish"
"657","785","Mijozlar bilan muloqot va mahsulotlar sotishi"
"658","787","Operator va yig'uvchi-qadoqlovchi lavozimlarini bajarish"
"659","788","Koæylakka yopishtirish"
"660","788","Oæz vaqti bilan yopishtirish"
"661","788","Oæz joyi bilan tamirlash"
"662","789","Uyingiz yoki ish joyingizdan boshqarish"
"663","789","Qizlar, ayollar, erkaklar, talabalar ham ishlay olishadi"
"664","789","Telefon, kampyuter, internet bilan ishlash"
"665","790","????? ?????? ????? ??????????"
