"id","job_id","skill"
"184","608","Female candidates only"
"188","611","18-30 yoshgacha"
"189","612","18-35 ?????? ??????"
"190","612","??? ???????"
"191","615","Torgovyi anetlikda ishlash"
"192","616","Ish qonuniyatlari va huquqiy tartiblarga rioya qilish"
"193","616","18-28 yoshdagi ayol yoki erkak"
"194","616","O'zbek tili bilan ravon so'zlash"
"195","617","Python"
"196","617","Sql"
"197","617","Javascript"
"198","618","Next"
"199","618","React"
"200","618","Javascript"
"201","618","Css"
"202","618","Html"
"203","621","?????????, ??????????"
"204","621","???????????? ??? ????????? ?????"
"205","621","?? ????? ???????????"
"206","625","Ovqat korxona hisobidan"
"207","625","Ahil jamoa"
"208","626","??????????? ????????"
"209","626","?????????????"
"210","626","???????? ????? ??????????"
"211","626","????? ?????? ???? ?????? ???????"
"212","627","18 dan 25 yoshgacha qizlar"
"213","628","Clean and disciplined habits"
"214","628","Physical fitness"
"215","628","Valid identification documents"
"216","631","18-30 yosh"
"217","631","Muloqot ishi stajiga ega"
"218","632","Mas?uliyatli bo'lish"
"219","632","Ishga o?z vaqtida kelish"
"220","633","16-27 ??????"
"221","633","??????? ????? ??????? ???????"
"222","634","??????? ???????? ? ?????? ? ???????"
"223","634","?? 18 ?? 25 ???"
"224","634","???????? ??????? ???"
"225","634","???? ?????? ? ???????? ?? ????? 2 ???"
"226","634","?????? ???????? ? ?????????? ??????"
"227","635","Kompyuter xizmatlari boÆyicha bilim va koÆnikmalar"
"228","635","MS Word, Excel, PowerPoint, Photoshop, Corel Draw bilan ishlash tajribasi"
"229","635","Muloqot qilish va jamoada ishlash koÆnikmalari"
"230","635","MasÆuliyatli yondashuv qobiliyati"
"231","636","18-40 ????"
"232","636","?????????? ?????"
"233","637","20-30 yosh"
"234","637","Mas'uliyatli va hushmuomila bo'lishi"
"235","637","Chaqqon bo'lishi kerak"
"236","637","Faqat ayol-qizlar"
"241","640","Pug"
"242","640","Css"
"243","640","Html"
"244","640","Javascript"
"245","640","React Js"
"246","640","Tailwindcss"
"247","640","Bootstrap"
"248","641","Drf"
"249","641","Python"
"250","641","Django"
"251","642","Sql"
"252","642","Docker"
"253","642","Kafka"
"254","642","Linux"
"255","642","Git"
"256","642","Go"
"257","642","Nosql"
"258","642","Microservices"
"259","643","Css"
"260","643","Javascript"
"261","643","Html"
"262","643","Mui"
"263","643","Typescript"
"264","643","Git"
"265","643","Antd"
"266","643","Bootstrap"
"269","645","Cocoapods"
"270","645","Swift"
"271","645","Uikit"
"272","645","Alamofire"
"273","646","C#"
"274","646","Asp. Net Core"
"275","646","Postgresql"
"276","646","Ms Sql Server"
"277","647","Javascript"
"278","647","Vuejs"
"279","647","Reactjs"
"280","647","Mongodb"
"281","647","Nextjs"
"282","647","Nodejs"
"283","647","Html"
"284","647","Css"
"285","647","Git"
"286","647","Bootstrap"
"287","647","Php"
"288","647","C#"
"289","648","Javascript"
"290","648","Typescript"
"291","648","Reactjs"
"292","648","Nextjs"
"293","648","C++"
"294","649","Cisco"
"295","649","CCN"
"296","649","Tarmoq"
"297","650","Ingliz tili"
"298","650","Rus tili"
"299","650","Ish bilimi"
"300","653","duradgor sifatida 2 yillik tajriba"
"301","655","Yosh: Chegaralanmagan"
"302","656","Ayollar"
"303","656","18-25 yosh"
"304","657","??????? ????? ?????"
"305","657","?????????????"
"306","657","20 ?????? 35 ??????? ???? ?? ??????"
"307","659","????????? ?????????? ? ?????? ????"
"308","659","?????? ?? ?? ?????? ????????????"
"309","659","???? ?????? ? ?????????"
"310","659","????????? ?????? ???????? ? ????????? ??????"
"311","659","??????????? ???????? ????? ???? ? ??????? ??????"
"312","659","?? ??????? ????? ????? !!!!"
"313","659","?????? ????????? ????????????? ? ?????????? ?????????"
"314","659","??????????????? ? ??????????????"
"315","660","Internet bilan ishlash imkoniyati"
"316","661","Original passport"
"317","661","Yosh: 25-35"
"318","664","????? ?????"
"319","664","?? ?????"
"320","665","?????????? ?? ???????? ?????"
"321","665","???? ?????? ?? ?????????? ???? ?????"
"322","665","????? ?????? ????? ????????"
"323","665","???? ????????? ????? ???????"
"324","667","????????? ?????????? ? ?????? ????"
"325","667","?????? ?? ?? ?????? ????????????"
"326","667","???? ?????? ? ?????????"
"327","667","?????? ????????? ????????????? ? ?????????? ?????????"
"328","667","??????????????? ? ??????????????"
"329","667","????????? ?????? ???????? ? ????????? ??????"
"330","667","??????????? ???????? ????? ???? ? ??????? ??????"
"331","668","Yoshsiz bo'lishi kerak"
"332","668","Xodimlik malakalari"
"333","668","Savdo tajribasi iltimos"
"334","669","Hisob kitobni bilishi"
"335","669","Rus va Uzbek tilini gaplasha olish"
"336","669","Xushmuomila"
"337","669","Ishga masuliyat bilan yondashish"
"338","670","OÆzbek va Rus tillarida soÆzlasha olishi"
"339","670","MaÆsuliyatli bo'lishi"
"340","670","Korxona talablariga rioya qilishi"
"341","670","KPI larni joy-joyida bajarishi"
"342","670","Kirishimli bo'lishi"
"343","670","Vaziyatdan tez chiqib keta olishi"
"344","670","Savdo sohasida kamida 2-3 yil ishlagan va tajribali boÆlishi"
"345","671","???????? ??????? ???"
"346","671","???????? ??????? ???????? ? ?????? ? ???????"
"347","671","?????? ???????? ? ?????????? ?????"
"348","671","???? ?????? ? ???????? ?? ????? 2 ???"
"349","672","22-30 yoshgacha bo'lishi"
"350","672","BILLZ programmasida ishlash bilishi"
"351","673","Responsible and reliable"
"352","673","Minimum 2 months experience in sales"
"353","673","Ages 18-28"
"354","673","Excellent communication skills"
"355","673","Punctual"
"356","673","Fluency in Uzbek language"
"357","674","Sudlanmaganlik haqida ma'lumotnoma"
"358","674","18-45 yosh chegarasi"
"359","675","Css"
"360","675","Bootstrap"
"361","675","React"
"362","675","Sass"
"363","675","Typescript"
"364","675","Javascript"
"365","675","Html"
"366","675","Tailwind"
"367","675","Mongodb"
"368","675","Vue"
"369","675","Next"
"370","675","Redux-toolkit"
"371","675","Vuex"
"372","675","Testing"
"373","675","Mongoose"
"381","677","Tajribali bo'lish"
"383","681","Experience in call-center operator role above 1 year"
"384","681","Excellent oral and written communication"
"385","681","Lead processing"
"386","681","Fluent in Uzbek and Russian"
"387","681","Task execution as approved by superior management"
"388","681","Proficient in PC usage"
"389","682","Mehnatkashlik"
"390","682","EÆtiborlilik"
"391","682","Tez oÆrganuvchanlik"
"392","682","Baquvvatlik"
"393","682","Russ tilini bilarli"
"394","684","Bootstrap"
"395","684","Html"
"396","684","Css"
"397","684","Reactjs"
"398","684","Git"
"399","684","Javascript"
"400","684","Figma"
"401","684","Material Ui"
"402","685","????????? ?????????? ? ?????? ????"
"403","685","???? ?????? ? ?????????"
"404","685","?????? ?? ?? ?????? ????????????"
"405","685","????????? ?????? ???????? ? ????????? ??????"
"406","685","??????????? ???????? ????? ???? ? ??????? ??????"
"407","685","?????? ????????? ????????????? ? ?????????? ?????????"
"408","685","??????????????? ? ??????????????"
"409","685","?? ??????? ????? ?????"
"410","686","B kategoriya haydovchilik guvohnomasi shart"
"411","686","Kamida 10 yil ish tajribasi"
"412","687","?????? ?????? ?????"
"413","688","Qabul 18 yoshdan"
"414","691","Rus, O'zbek tillarida aniq ravon so'zlashish"
"415","691","1-3 yil savdo sohasida malakaga ega bo'lishi"
"416","691","20-30 yosh oralig'idagi bo'lgan ayol va qizlar"
"417","691","Xushmuomala va insonlar bilan chiqishib keta olish"
"420","693","Jinsi - Ayol"
"421","693","Yoshi - 18-30"
"423","695","???? ?????? ?? 2 ???"
"424","695","?????? ??????????? ???????????"
"425","695","???? ?????? ? Yii2 ??? Laravel"
"426","695","????????? ???????? ??????? ??????"
"427","695","?????? SQL"
"428","695","???? ?????? ? Git"
"429","695","?????? MS Office"
"430","696","??? ?????? ????? ??????? ???? ?????"
"431","696","??????????? ???? ??????????? ??????"
"432","696","??????? ????????? ??????"
"433","698","Css"
"434","698","Javascript"
"435","698","React. Js"
"436","698","Typescript"
"437","698","Sass"
"438","698","Html"
"439","698","Next. Js"
"440","699","Css"
"441","699","Symfony"
"442","699","Jquery"
"443","699","Yii2"
"444","699","Html"
"445","699","Js"
"446","699","Git"
"447","699","Bootstrap"
"448","699","Docker"
"449","699","Rest Api"
"450","699","Linux"
"451","699","Api_platform"
"452","699","Cd"
"453","699","Ci"
"454","700","Ish bilish"
"455","701","tartib-intizom"
"456","701","ozodalik"
"457","701","xalollik"
"462","703","Bepul bilet beruvchi"
"463","703","Korishuvchi"
"464","703","Tashkilotchi"
"465","703","Ma'limotchilar"
"466","704","Halollik, to'g'ri sozlik"
"467","704","Jamoada ishlash qobiliyati"
"468","704","25-40 yosh"
"469","705","Fluent in Uzbek"
"470","705","Good communication skills"
"471","705","Initiative"
"472","706","25 yoshdan 30 yoshgacha"
"473","707","Height above 1.70m"
"474","707","Male candidates"
"475","707","Hardworking individuals"
"476","707","Age between 18-40"
"477","708","Bootstrap"
"478","708","Javascript"
"479","708","Php"
"480","708","Html"
"481","708","Laravel"
"482","708","Mysql"
"483","708","Postgresql"
"484","708","Css"
"485","708","Git"
"486","709","Rus tili bilishi"
"487","710","Minimum 1 yil tajriba"
"488","710","Yaratuvchi, ishlab chiqaruvchi va samarali bo'lish"
"489","710","SMM va kontent va marketing sohasida malakali"
"490","711","5 ??? ????? ?????? ? ?????????? Java-??????????"
"491","711","???? ?????? ? ???????"
"492","711","???????? ?????? Spring Framework"
"493","711","???? ?????? ? REST API"
"494","711","????????? ?????????????? ???????????"
"495","711","?????? ????? Continuous Integration ? Continuous Deployment (CI/CD)"
"496","711","???? ?????? ? Docker"
"497","711","????????? ???????? *nix ?????????"
"498","712","Fluent in Russian and Uzbek languages"
"499","712","Experience in call operator positions preferred"
"500","714","Stajga ega insonlar"
"501","714","O'z vaqtida keladigan va tartibga rioya qiladigan ishchilar"
"502","715","Jinsi: Qiz bolalar"
"503","715","Yosh: 18-25"
"504","715","Tajribasi: BILMASA URGATAMIZ"
"505","716","????? ????????"
"506","716","??????? ?? 18 ?? 24 ???"
"507","718","Ishga joriyat bilishi"
"508","718","Tikish bilishi"
"509","719","Ages 18-30"
"510","719","Familiarity with Tashkent city"
"511","719","Proficiency in Russian and Uzbek languages"
"512","719","Personal qualities: honesty, punctuality, diligence, responsibility"
"513","719","Male/Female"
"514","719","Minimum 6 months of work experience"
"520","721","???? ?????????? ???? ?????"
"521","721","??? ?????? ????? ????????"
"522","721","?????????????"
"523","721","???? ????????? ????? ???????"
"524","721","????? ?????"
"525","721","????????????"
"530","723","IELTS 7.0+ yoki B2 dan yuqori"
"531","723","Pedagogik qobilyatga ega"
"532","723","Universitet diplomi yoki soha bo'yicha sertifikatlar"
"533","723","Eng kamida 6 oylik tajriba"
"534","723","18 yoshdan katta"
"535","724","??? ???????? ??? ?? ?????? ?????????"
"536","725","Maqsad o'quvchilari"
"537","725","Yigitlar"
"538","726","??? 18-35 ???????? ?????? ?????"
"539","727","Fast Food sohasida yoki Restoran sohasida tajribaga ega bo'lishi"
"540","727","Ishga ma'suliyat bilan yondashish"
"541","727","Oæzbek tilida ravon soæzlasha olish (rus tilini bilsa yanada yaxshi)"
"542","727","Tashki koærinishiga e'tiborli boælishi"
"543","727","Pozitiv va xushmuomala boælish"
"555","732","Telefon va internet bilish kerak"
"556","733","Berilgan topshiriqlarni muvofiqlashtirish"
"557","733","Sotuv management"
"558","734","Ishga o'z vaqtida kelish"
"559","734","Hushmuomala bo'lish"
"560","734","Ichki tartib nizomga amal qilish"
"561","734","Qund bilan o'rganish va ishlash"
"562","737","Kimyo sohasida bilim"
"563","737","Yuqori maktab"
"564","737","Xilof, tuxum sarflay olish bilan bog'liq ishlarga tayyor"
"565","738","O'zbek tilida ravon gaplashish"
"566","738","Ofisga mos imidjda bo'lish"
"567","738","Mustaqil fikrlash"
"568","739","Owns Texnikalarim 15 pro max, dji osmo 6 stabilizator, saramonic micrafon"
"569","740","Parda dizayndagi zamonaviy tendentsiyalarni bilish."
"570","740","Parda dizaynerlik yoki interyer sohasida dizayner sifatida tajribasi."
"571","740","Muloqot, ijodkorlik va mas'uliyat."
"572","740","Jamoada ishlash qobiliyati va natijaga bera olish."
"573","742","Aged between 25-35"
"574","742","Female"
"575","743","Only for Toshkent"
"576","743","Ability to quickly and easily learn large amounts of information"
"577","743","Aged 18-30"
"578","744","Russ tili bilish katta plus"
"579","744","19-35 yoshgacha ega boÆlganlar"
"580","744","Mehnatkash va eÆtiborli yigitlar"
"581","745","Mas'uliyat"
"582","745","Rus tilini o'rta darajada bilish"
"583","745","Bardoshlilik"
"584","745","Diqqat"
"585","745","Aniqlik"
"586","746","English"
"587","746","CSS"
"588","746","JavaScript"
"589","746","Python"
"590","746","HTML"
"591","746","Uzbek"
"592","746","Russian"
"593","747","O'zbek tilida ravon gapira olish"
"594","747","Rus tilini ham bilishi afzal"
"595","747","Smart Up, Excel va shunga o'xshash elektron dasturlar bilan erkin ishlay olish"
"596","747","Eng kamida 6 oylik tajriba"
"597","747","Muammolarni tez va samarali usulda hal qila olish qobiliyatiga ega bo'lish"
"598","747","Kirishimli va masÆuliyatli boælish"
"601","749","Knowledge of YouTube, Instagram, Telegram, TikTok, Vkontakte"
"602","750","Fluent in Uzbek language"
"603","751","savdo qobiliyatlari"
"604","751","Kommunikativ ko'nikmalar"
"605","752","20-25 yosh oralig?i"
"606","752","Toshkent shahrida doimiy istiqomat qilish"
"607","752","Kompyuter savodxonligi "
"608","752","1 yildan ko?p tajriba"
"609","753","Yosh: 22-35"
"610","753","Muhimi tajribali bosin"
"611","755","Work and rest regulations"
"612","755","At least 6 months of experience"
"613","755","Modern conditions"
"614","755","Teamwork"
"615","755","Career advancement opportunities"
"616","755","Opportunity for timely payment of salary and bonuses"
"620","757","?????????"
"621","757","???????? ???????? ?????? ?????? ?? ?????? ????? (????????) ????????"
"622","757","22 - 38 ??????"
"623","757","??????"
"624","758","17 yoshdan 24 yoshgacha"
"625","762","??? ???? ???????? ???? ???????? ?? ?????????"
"626","762","18 dan 25 gacha"
"627","762","?????????? ???????? ????? ????."
"628","762","???? ???????? ???? ????? ???? ????????"
"630","764","Ishni o'z vaqtida va sifatli bajarish"
"631","764","Ma'suliyatli va tartibli bo'lish"
"632","765","Masofadan ishlash imkoniyati"
"633","765","Rivojlanish istagi"
"634","765","Offline qismida o'quvchilar bilan ishlash tajribasi"
"635","765","Instagram va Telegramni tushunish"
"636","765","Jamoani boshqarish qobiliyati"
"637","765","Insonlar bilan ochiq munosabat qilish"
"638","767","????? ???? ?????? ??????"
"639","767","???? ?????"
"640","767","???? ????"
"641","768","Tajribali"
"642","769","Majburiy sertifikat va diplom"
"643","770","Kampyuter bilishi"
"644","770","25-35 yosh"
"645","772","Ahil jamoa"
"646","772","18 dan yosh borligi"
"647","772","Ovqat korxona hisobidan"
"648","773","18dan yoshga ega bo'lish"
"649","774","Fluent in Uzbek and Russian"
"650","774","6 months of sales experience"
"651","774","Proficient in computer and office software"
"652","775","Soha bo'yicha qiziqish"
"653","775","O'zini ishiga nisbatdan talabchan"
"654","775","O'z ishini yaxshi ko'radigan"
"655","775","Chaqqonlik va kirishimlilik"
"656","775","22-28 yoshgacha"
"657","776","???? ????????? ????? ???????"
"658","776","?????????????"
"659","776","????? ?????"
"660","776","??????? ????? ?????????"
"661","776","??? ?????? ????? ????????"
"662","776","???? ?????????? ???? ?????"
"663","777","????? ?????? ????? ?? ??????? ??????? ????"
"664","777","??????? ?????? ??? ?????"
"665","777","???m?????? ?? ???????????? ?????"
"666","777","?????? 6 ???? ?????????"
"667","778","????? ?????? ???????? ???????? ????????"
"668","779","18-40 yosh"
"669","779","BEZAK yoÆnalishida ish oÆrgatish ga istek kiritiladi."
"670","780","Haidovchilik malakasi"
"671","780","Tajribali bo'lish"
"672","780","Mekhanizatorlik bilishi"
"673","781","Kreativ fikrlash"
"674","781","After Effects"
"675","781","Biznesga qiziqish"
"676","781","Premier Pro"
"677","782","??????????"
"678","782","???????? ?????"
"679","782","??????????"
"680","783","mas'uliyatli ishchilar"
"681","783","jismoniy holatda yaxshi bo'lgan"
"682","783","Tajribali"
"683","784","C ???? ?????? ?????????? ????-?????? ???? ? 1 ????"
"684","784","????????? ??????????? ?????"
"685","784","????????? ?????? ? ?????????? ????"
"686","784","?????? ?????????? ? ???????? ????? ? ????????????"
"687","784","?????????? ?????, ???????????? ??????????? ????????????"
"688","784","????????? ???????? ??"
"689","785","Tez o'rganish"
"690","785","Ishga ma'suliyatli"
"691","785","Stressga chiqarishga tayyorlik"
"692","785","Tartiblanish"
"693","787","Yotoq bilishi"
"694","787","Issiq va mazali ovqat bilishi"
"695","787","Ozoda yuvinish xonasi va tahorat uchun sharoitlar bilishi"
"696","788","Ish oærgatishga tayyor"
"697","788","30 yoshgacha boælgan"
"698","788","Harakati chaqqon"
"699","790","????????? ????? ??????? ???????"
"700","790","??? ?????????? ????"
"701","790","?????? ??????"
"702","790","????? ???????? ??????? ???? ?????????"
"703","792","??????? ???????"
"704","792","??????? ?????? ????"
"705","792","???????????"
"706","792","????? ???????"
"707","793",""
"708","795","??? ?????? ?????"
"709","795","????? ?????? ??????? ??????"
"710","796","Avtomobil, Velosiped, Piyoda bilan ishlash tajribasi"
"712","800","Ability to handle responsibility"
"713","800","Aged 18-40"
"714","800","Adherence to rules"
"715","800","Fluent in Uzbek"
"716","801","O?zbek, rus tilini bilish"
"717","802","O'zbek tilida ravon so'zlashish"
"718","804","Muhim"
"719","804","shu sohaga qiziqadiganlar uchun ham o?zimiz o?rgatamiz"
"724","806","??????? ????????? ??????? ????? ??????"
"729","810","2 yillik tajriba"
"730","811","O'zbek tilida ravon soæzlasha olish"
"731","811","Ishga ma'suliyat bilan yondashish"
"732","812","????? ?? ??????????? ???? ?????"
"733","812","???? ????????? ?? ??????? ????? ???????"
"734","814","???????? ???????? ?????? ?? ????? 1 ????"
"735","814","???????: ?????? 25 ???"
"736","814","????????? ???????? ??????? ??????"
"737","814","??????????????: ???????"
"740","817","???? ?????? ?? 1 ????"
"741","817","???????????????"
"742","817","?????? ???????? ? ?????????? ??????"
"744","819","Tajriba shart emas"
"745","819","18-50 yoshgacha"
"746","820","O'zbek va russ tillarini bilimi"
"747","820","Tashqi reklama sohasida 2 yildan ortiq tajriba"
"748","820","Etirborlilik va chaqqonlik"
"749","820","CorelDraw, Photoshop, va kompyuter savodxonligini mukammal darajada bilimi"
"750","822","Yosh: 18-28"
"751","822","Yosh: Ayollar va erkaklar"
"752","822","Uzbek tilida ravon so'zlashish (rus tilini bilgan afzal kuraladi)"
"753","822","Yosh: Uqil-kiz"
"754","823","???????????? ??? ????????????"
"755","823","????????????"
"756","823","??????????????"
"757","824","?????? ????? ????????? ?????? ?????"
"758","824","?????"
"759","824","18-28 ??"
"761","826","Masuliyatli bo'lish"
"762","826","Chaqqonlik"
"763","826","Ishini bilish"
"764","827","Responsibility"
"765","827","Punctuality"
"766","827","Adherence to internal company rules"
"767","828","Tajriba: 1 yil"
"768","830","Paspurt"
"769","831","??????? ??????? ?? ?????? ??? ?????"
"770","831","????? ?????? ????? ?? ??????? ??????? ????"
"771","831","????? ??????? ???? ???????"
"772","831","?????????? ?? ????????? ?????"
"774","833","18-30 yosh"
"775","833","Katta hajmdagi ma'lumotni tez va oson o'rganish qobiliyati"
"776","834","18-35 ?????? ?????? ?? ????????"
"777","834","???? ??????? ???????"
"778","834","???? ??????? ?????"
"779","834","?? ????? ??????? ???????"
"780","834","?????????? ?????"
"781","835","Tajriba: tajribali bo'lishi kerak"
"782","836","Vaqtida va sifatli ish bajarish"
"783","836","Ma'suliyatli va tartibli ish bajarish"
"784","837","??????????"
"785","837","???????????????"
"786","837","??????????????????"
"790","841","???? ?????? ? ???????? ?? ????? 2 ???"
"791","841","???????? ??????? ???"
"792","841","??????? ???????? ? ?????? ? ???????"
"793","841","?????? ???????? ? ?????????? ??????"
"794","842","?????? ?????? ???????? ?????????"
"795","842","???????? ?? ??????????"
"796","842","?????? ?? ??????? ??????? ?????? ?????????"
"797","844","Oæzbek tilini mukammal bilish"
"798","844","2+ yillik tajriba Vue JS ni amalga oshirishda"
"799","844","Real loyihalar TAJRIBA"
"800","844","Vue JS va VueX bilan amaliy tajriba"
"801","844","HTML/CSS bo'yicha yuqori darajadagi tajriba"
"802","844","Javascript dasturlash tilini yaxshi bilish"
"803","844","SASS va Bootstrap-ni yaxshi tushunish"
"804","845","Tajriba talab etiladi"
"805","846","Fuqarolik pasporti"
"806","846","Xorijga chiqish pasporti"
"807","847","Sotishda tajribaga ega"
"808","847","Ishchi vaqtida ishonchli va ishqiy"
"809","847","Ish faoliyatini baholash"
"810","847","Mijozlar bilan aloqadorlik"
"811","848","Hu?muomila va kiri?imli bo'lish"
"812","848","Ichki tartib va qoidalarga rioya qilish"
"813","848","O'zbek tilida ravon gaplashish"
"814","848","Rus tili bilishi"
"815","849","Tez kotarilishga istagin"
"816","849","18-27 yosh"
"817","849","Ishga qabul qilingan yigit-qizlar"
"818","854","???????? ???????"
"819","855","Alkogol va tamaki mahsulotlar bilan ishlashda cheklovlar"
"820","855","21 yoshdan yuqori ayollar va erkaklar"
"821","855","Ishga erishishning yosh chegirmalari"
"822","856","CRMni bilish muhim"
"823","856","18 yoshdan katta bo'lish"
"824","857","Ishtirok etishni istash"
"825","857","Muloqot qobiliyati"
"826","857","Yosh: 18dan"
"827","859","Parda dizayndagi zamonaviy tendentsiyalarni bilish"
