"id","job_id","comment"
"183","624","@brandfaceuz kanalini obuna bo'ling, @brandfaceuzb guruhida muhokamaga tayyor bo'ling."
"184","625","E'lonni t⌡liq ⌡qib keyin murojaat qiling"
"185","626","??????? ????? ?????? ???????? ???? ????? ?????? ???????? ??????."
"186","628","Company benefits available after 8-12 months of service."
"187","628","Accommodation and work attire provided."
"197","631","Ish vaqti: 9:00ù20:00 gacha"
"198","631","Sinov muddati: 5 kun"
"199","632","Qulay ish vaqti: 08:00 dan 17:00 gacha"
"200","632","Barcha qulayliklar bor"
"201","632","20 yoshdan boshlab qabul qilinadi"
"202","632","Suhbat vaqti rezyumega qarab belgilanadi"
"203","632","Yotoq joy yo?q."
"204","633","??????? ?????"
"205","633","????????: @Uzb0122"
"206","633","?? ?????: 9:00-23:00"
"207","634","?????? ??????: 6/1 ? 8.30 ?? 19.00"
"208","634","???????? ?? ????????????? ???? (1 ?????) - 1.500.000 UZS"
"209","636","????????? ???? ??????"
"210","636","????? ???????????? ???!"
"211","636","?? ??????? ???????;"
"212","636","?? ????? ??????????????"
"213","636","???? ?????????"
"214","636","???????? ??????"
"215","637","Manzil: Yashnabod tumani panelniyda joylashgan Uysozlar ko?chasi 2-3"
"218","639","18 yoshdan 35 yoshgacha boÆlgan"
"219","639","Yotoq joyi yoÆq!!!"
"220","648","24/7 murojaat qilish vaqti"
"221","650","Bonuslar"
"222","650","Alohida bonuslar xodimlar uchun"
"223","650","Hamma sharoitlar bor"
"226","653","Ish haqi (kechikishlarsiz) oyiga 2 marta to'lanadi"
"227","653","Tushlik kompaniyadan 13:00 dan 14:00 gacha"
"228","655","BEKORCHILAR BEZOVTA QILMASIN"
"229","656","Yosh togri kelmasa bezovta qilmaslik"
"230","656","Telegram: @hm6Ihq9d7okxNTZi"
"231","657","??? ?? ?????????? ?????"
"232","657","????? ???????? ???? 7 ?????? ???? ????????"
"233","657","?????? ???? ????????"
"234","659","??????????????? ???????? ?? ???"
"235","659","???????? ?? ???? ????????"
"236","659","?????? ?????? 2/2 ? 10:00 ?? 20:00"
"237","660","Yosh muhim emas"
"238","660","Diplom talab qilingan emas"
"239","661","2 kun sinov mudatga kabul kilinadi (oylik tulanmaydi)"
"240","662","Korxonada barcha sharoitlar mavjud (Yuvinish xonasi, oshxona, Yotoq joy)"
"241","662","Ishga suhbat asosida qabul qilinadi"
"242","663","3 mahal o'vkat va yo'takhona bilan bepul taminlaymiz"
"243","663","Halollik va ishiga masuliyat talab kilinadi"
"244","664","?? ??????? ??????? ??????????? ???? ??? ?? 3 ????? ????? ????? ????????"
"245","665","???? ???????? ???? ????? ???? ????????"
"246","665","?????????? ???????? ????? ????"
"247","665","??? ???? ???????? ???? ???????? ?? ?????????"
"248","667","?? ??????? ????? ????? !!!"
"249","668","Ayol-Qizlar 21 yoshdan"
"250","668","Erkaklar 18 yoshdan ishga qabul qilamiz"
"251","669","Chaqqon"
"252","669","18-25 Yosh"
"253","669","Tel: +99891 311-82-62"
"254","669","Ish vaqti: 09:00 dan -21:00 gacha"
"255","670","6/1 ish kunlari"
"256","670","09:00-18:00"
"257","670","Fiksa + (KPI)"
"258","670","EÆlon boÆycha murojaat 8:00 dan 20:00 gacha"
"259","671","?? ????????????? ???? (1 ?????) ?? 1.500.000 ???"
"260","671","?????? ??????: 6/1 ??????????? - ????????, ? 8.30 ?? 19.00"
"261","672","10 kunda 1 kun dam olish"
"262","672","Yotoq joyi yo'q"
"263","673","Working hours: 6 days a week, 9:00-18:00"
"264","673","Detailed information will be provided during the interview process."
"265","674","Viza mudati 1 yil cho?zdirib bo?lmaydi"
"266","675","Iltimos haqiqatan ishga olegon kampanyalar va online pul to'lanegonlar yozishsin amaliyot deb yozmelar. Online darsxam o'taman qizaqanlar bolsa yozishilar mumkun"
"268","677","Ish online, istasa offline borib kelib qo'yish mumkin."
"272","681","Work schedule: 6/1 with floating weekends, from 10:00 to 19:00 + Food provided"
"273","682","3 mahal issiq ovqat"
"274","682","Yuvinish xonasi"
"275","682","OÆz vaqtida beriladigon oylik"
"276","682","Kompaniya hisobidan oÆrgatilinadi va malaka oshirish imkoniyatlari"
"277","682","OÆsishga katta imkoniyat"
"278","682","Qoshimcha bonuslar"
"279","683","Tushlik va kechki ovqat korxona hisobidan"
"280","683","Yotoqxona yo'q"
"281","683","Transport yo'q"
"282","685","????????? ?????? ? ???? @Uzum_jbot ??? ?????????? ? @KamronHR"
"283","686","Oæzbek til bilimi"
"284","686","Faqat Toshkent shahridagi fuqarolar uchun"
"285","687","????? ??????? 15 ???"
"286","688","Bepul yotoqxona mavjud"
"287","689","Ish haki kelishilgan holatda."
"288","689","Manzil: Samarqand shahri"
"289","691","Ahil va progressiv jamoada ish olib borish"
"290","691","Savdo menedjeridan Buxorodagi ishlar bo'yicha boshqaruvchi direktori (SEO) darajasigacha o'sishingiz mumkin"
"291","691","O'zbekiston bo'ylab va Chet elga sayohat"
"292","691","Mutaxassis sifatida o'sib borish imkoniyati"
"293","691","Oylikdan tashqari qo'shimcha bonuslar"
"294","691","KPI va vazifalarni vaqtida bajarishingiz evaziga qo'shimcha bonuslar korporativ sovg'alar olasiz"
"295","691","Mutaxasis va shaxs sifatida o'sishingiz uchun o'zimiz kurslarda o'qitamiz jo'natamiz va tashkilot hisobidan to'lab beramiz"
"297","693","Qo'shimcha ma'lumotlar: O'ZIGA QARAGAN"
"299","695","????? ???????????? ? ????? ?????????? ??????!"
"300","696","?? ?????? ?? ????????? ??????? ??????? ????????"
"301","696","A'yollar va qizlar uchun"
"302","696","?????????? ?????? ?????"
"303","698","Yosh: 17"
"304","701","Tushlik: korxona hisobidan"
"312","703","Shartlar mavjud"
"313","704","Rasmiy ishga joylashish"
"314","704","8 soatlik ish vaqti"
"315","704","OZARO KELISHIB ABYOMGA HAM ISHLASA BOLADI"
"316","704","O'z vaqtida ish haqi va bonuslar"
"317","704","Korxona hisobidan tushlik"
"318","704","Maxsus forma beriladi"
"319","705","Career growth opportunities"
"320","705","Training courses for new employees"
"321","705","Bonuses for active employees"
"322","706","Talabalar nomzodi ko'rib chiqilmaydi"
"323","707","Trial period of 3 days"
"324","707","Working hours from 8:00 to 20:00"
"325","707","Only male candidates aged 20 to 35 years with a height of 1.70m and above will be considered"
"326","708","Tajribam 2 yil. Jamoada va o?zimdan kuchlilar orasida ishlab yanada tajriba orttirib, o?z sohasining eng kuchlisi bo?lish"
"327","709","Doska (40 mm gacha) - 1500?"
"328","709","Brus (50 mm dan) - 1400?"
"329","709","2-sort - 1000?"
"330","710","rasmiy ishga joylashish"
"331","710","yosh va do'stona jamoa"
"332","710","qulay va shinam ofis"
"333","711","??????????? ???????????????"
"334","711","?????????? ??????? ? ??????? ???????"
"335","711","??????????????? ????"
"336","711","?????? ?????? 5/2, ? 9:00 ?? 18:00"
"337","712","Candidates aged 20-35 are preferred"
"338","713","Turar joy Oziq ovqat bilan ta'minlanadi."
"339","713","Yoshi 20 yoshdan 45 yoshgacha."
"340","714","1 mahal ovqat (obed)"
"341","714","Viloyatdan kelgan ayollar uchun yotoq joyi bilan ta'minlanadi"
"342","717","Har kunlik e'lonlarni biz bilan kuzatib boring!"
"343","718","Ish soati yo'q"
"344","718","Dam olish kuni kelishilgan holda"
"345","719","High salary range"
"346","719","Various bonuses and commissions"
"350","721","???????? (????? ???????? ????)"
"352","723","Ish tajribasiga ega bo'lish shart emas"
"353","723","Barcha ish o'rgatiladi"
"354","723","Ahil va inoq jamoa"
"355","725","Qoshimcha ma'lumot: qishimcha ish izlayotganlar ham ishlasin"
"356","725","Sharikatlarning 10 ta biznes va mo'limot bo'yicha karatotiha"
"357","726","?????, ???? ?????????? ??????????? ??? ???? ???????? ??????"
"358","726","??????? ????????? ???? ???? ??? ????????? ????????"
"359","727","Zamonaviy Fast Food tizimi"
"360","727","6/1 ish kuni"
"361","727","Qulay sharoitlar"
"362","727","Kar'eraviy oæsish imkoniyati"
"363","727","Ovqatlanish ishxona hisobidan"
"375","731","Ayol qizlarni ishga taklif etamiz"
"376","732","Ersag?Orfilame?Faberlik?NL emas ?"
"377","732","Narsa sot ball yi? Baling kudi demaymiz"
"378","732","MAHSULOTLARSIZ"
"379","733","Ish tartibi: offline, 9:30-18:30"
"380","734","Faqat o'ziga ishongan aniq sotuv sohasini epliman digan yigit va qizlar yozsin"
"381","736","Maoshlar har oynining 15 va 30 sanasida amalga oshiriladi"
"382","737","Uzoqdan kelganlar uchun ish joyi ta'minlangan"
"383","737","Talabalar bezovta qilmaydi"
"384","738","Doyimiy osib boruvchi lavozim va daromad"
"385","739","Portfolio submission required for consideration."
"386","740","Zamonaviy salonda qulay ish sharoitlari."
"387","740","Mehnart kodeksi boÆyicha rasmiy ishga qabul qilish."
"388","740","0dan boshlab sohani toÆliq oÆrgatiladi."
"389","740","Ijodiy muhitga ega kompaniyada ishlash."
"390","740","Kasbiy o'sish va ijodiy g'oyalarni amalga oshirish imkoniyatlari."
"391","742","No prior experience required"
"392","742","Accommodation and meals provided"
"393","743","Work schedule: 6/1 (9 hours)"
"394","743","Corporate training available"
"395","744","3 mahal issiq ovqat"
"396","744","Qoshimcha bonuslar"
"397","744","Kompaniya hisobidan oÆrgatiladi"
"398","744","Yuvinish xonasi"
"399","744","OÆsish imkoniyati"
"400","745","Hamma narsani o'rgatamiz, sizdan faqat intilish va o'rganish talab qilinadi!"
"401","746","Competitive salary"
"402","746","Opportunity for self-development"
"403","747","Ahil va doimiy oÆsib boruvchi jamoa"
"404","747","Raqobatdosh oylik ish haqqi"
"406","749","Daily income awaits you"
"407","750","Must be willing to reside in Toshkent"
"408","751","Bizning manzil: Yangi choshtepa"
"409","753","Ish joyi orqali biz haqimizda bilsayiz boladi"
"410","754","ASOSIY KANAL 1MLN?"
"411","755","Opportunity for career advancement"
"413","757","???????? ?????????? ???????? ?? ???????? ??????"
"414","757","???? ????: ?-7-3"
"415","757","?????? ??????? ??????????"
"416","758","Yakshanba kuni dam olish kuni"
"417","759","Telefonlashma vaqti: 9:00 - 22:00"
"418","759","Telegram orqali ma'lumot bering"
"419","759","Telefon bilan murojaat qiling: 937667464, 956686444"
"420","760","Uyda oÆtirgan holda ortiqcha sarf-harajatlarsiz ishlash imkoniyati"
"421","760","Daromadingiz harakatingizga yarasha kunlik boÆladi"
"422","760","Daromadga chiqquningizcha kurator sizga yordam beradi"
"423","760","Erkin ish grafigi asosida ishlaysiz"
"424","761","Ish jadvali 6/1"
"427","765","Shoshiling, joylar chegaralangan!!!"
"428","765","Agar rivojlanishga va liderlik qobiliyatingizni oshirish niyatida bo'lsangiz, bizga qo'shiling!"
"429","765","Potensialingiz va liderlik qobiliyatingizga qarab kampaniya ichida boshqa lavozimlar bo'yicha sinab ko'rish imkoniyati"
"430","766","Yotoq joy yoæq"
"431","767","???? ??????? ???? ??????? ????? ?????"
"432","768","Qolib ishlashga sharoit bor"
"433","769","Xijoma muolajasini shogirdlik asosida uqatamiz"
"434","769","Ukish davomiyligi 1 oy"
"435","770","Yosh chegarasiga e'tibor bering"
"436","771","Oylik maosh o'z vaqtida beriladi"
"437","771","Ahil jamoa"
"438","771","Ibodatlarga sharoit bor"
"439","771","Shu soha bo'yicha o'sishni"
"440","773","Tel qilish voqti 09:00 dan 20:00 gacha"
"441","774","Candidates must dress professionally and be punctual"
"442","774","Opportunity for career growth and salary increase"
"443","775","Issiq ovqat korxona hisobidan"
"444","775","Xodimlar qoæshimcha bonuslar bilan taqdirlanadi"
"445","775","Qulay ish sharoitlari"
"446","775","Ahil jamoa"
"447","775","Ibodatlarga sharoit bor"
"448","776","?? ?????: 1-?????: 9:00 ??? 17:00 ????, 2-?????: 15:00 ??? 22:00 ????, ????? ?????: 9:00 ??? 21:00 ????"
"449","776","??????????? ????? ???????"
"450","778","???? ?????? ????? ????? ???'?????"
"451","780","Ish jomaatga aloqador"
"452","780","Sinov muddati 2 oy"
"453","780","Talabal mutaxassislar"
"454","782","??? ?? ?????????? ?????"
"455","783","To'liq ish kuni"
"456","783","Qulay mehnat sharoitlari"
"457","785","Olm?s metro orqali yetib borish mumkin"
"458","785","12 soatlik ish kunlari"
"459","786","Imkon yotib ishlidigan boÆsa zoÆr"
"460","787","Har 1-sana da oylik"
"461","787","Har 15-sana da avans (50%gacha)"
"462","787","Diqqat qo'ng'iroq vaqti: 08:00 dan 21:00 gacha"
"463","788","Qavidagi 2 kun sinov muddatda ishga qabul qilinadi"
"464","788","Studentlarni ishga qabul qilmaymiz"
"465","788","Doimiy ishlaydigan ishchilar kerak"
"466","789","Diplom va yosh talab qiymati yo'q"
"467","789","Imkoniyat doimiy mavjud"
"468","790","???? ?????? ????? ?????????"
"469","790","?????? ????? ???? ???"
"471","792","????????? ????? ??????????"
"472","792","?? ???? 6/1, 9:00 ??? 18:00 ????"
"473","792","????? ??? ???"
"474","793","Ayollar 21 yoshdan, erkaklar 18 yoshdan ishga qabul qilinadi."
"475","796","Bugunoq ishga chiqing!"
"476","796","Havola orqali ro'yxatdan o'ting"
"477","796","Bugungi ishni ertaga qo'yma!"
"481","799","?????? ????? ?????? ???????"
"482","800","Convenient working conditions"
"483","800","Training sessions"
"484","800","Modern office"
"485","800","Office benefits"
"486","800","Career growth opportunities"
"487","800","6/1 work schedule"
"488","800","Friendly team"
"489","801","Ishga vaqtida kelish va doimo izlanuvchan bolish"
"490","801","Ish vaqti 09:00 dan 18:30 gacha"
"491","801","Haftada 1 kun dam"
"492","801","Yosh chegarasi: 18-25 (qat?iy)"
"493","801","Ish turi: Operatorlik"
"494","801","Ish o?rgatiladi"
"495","802","Bonuslar tug'ulgan kunlar va xar kuni taqdirlash marosimlar"
"496","804","Jadval: 08:00 dan 19:00; 6 kun ish yakshanba dam"
"497","804","Mas'uliyatli bo'lishi shart"
"498","804","Yosh: 18 dan 32 yoshgacha"
"500","806","???? ???? ???!!!"
"502","808","??????? ?????????"
"503","808","??????? ????? ????? ?????????"
"504","808","??????? ???"
"505","808","??? ???? ?????????"
"506","808","????? ??????????? ????????????"
"509","810","Kompaniyadan tushlik"
"510","810","6/1, 9:00 dan 18:00 gacha, tushlik kompaniyadan 13:00 dan 14:00 gacha"
"511","810","Ish haqi (kechikishlarsiz) oyiga 2 marta to'lanadi"
"512","811","Tashki koærinishiga e'tiborli boælishi"
"513","812","??????? ?????"
"514","812","?????? ??????? ??????? ???? ????? ?????"
"515","812","????? ?? ?????: 9:00 ??? 18:00 ????"
"516","813","Uy-joyi yo'q kishi bo'lsa yashash sharoyitlari yaratib beriladi"
"517","814","???????? ?? ???????????????"
"518","814","????? ??????: 9.00-17.00"
"519","815","Yaxshi ishlaganlarga yotoqhona qilib beramiz bepul"
"520","815","70 mingdan 120 minggacha moshina yuvish narxlari 60/40 ishlanadi"
"522","817","??????? ?????? ? ???????????? ?? ??????? ? 9:00 ?? 20:00"
"523","817","??????????? ??????????????? ? ??????? ????"
"524","817","????????? ?????????? ? ????????, ??????????????? ? ?????????"
"526","819","Joylar chegaralangan"
"527","820","Portfolio bo'lishi shart"
"528","820","Yashash joyi taqdim etilmaydi"
"529","821","Agar ishingiz yaxshi bo?lsa har oyda 2-3-4 marta oilaviy kelishingiz mumkin."
"530","821","Premya ham bor."
"531","821","Har oy oilaviy kelib bepul kafe nomidan taomlanib ketishingiz mumkin."
"532","822","Ish vaqti: 09:30-18:30. Tushlik 12:30-13:30"
"533","823","?????????: ????? ????, ???? ???????? ???? ???? ????????, ??? ???? ???????? ???? ????????"
"534","824","????????? ?????? ??????? ????????"
"535","824","?????? ?? ??????? ? ?????????? ????????"
"537","827","Long-term employment with comfortable working hours"
"538","827","No empty spaces"
"539","828","Vacancy joylash uchun @jobmarketuz kanaliga murojaat qiling!"
"540","828","Batafsil ma'lumot uchun va rezyume topshirish uchun websaytga murojaat qiling!"
"541","829","?? ?????: 7/6 ??????? 6 ?????? ??"
"542","829","???: 98-776-56-77"
"543","829","??????? ????? ?????: 9-00 ??? 18-00 ????"
"544","829","????????? ????????? ???? ???? ???? ??????."
"545","829","???: 55-503-47-88"
"546","830","Halol rostgo?y mehnatkash Yigit -Qizlarni ishga qabul qilamiz"
"547","831","???????? ?????? ??? ??? ??????????? ???????? ??????? ????? ???????"
"548","831","???? ????????????, ????????, ???????????? ?????? ????? ???????????? ?????? ???????"
"550","833","Faqat Toshkent uchun"
"551","833","Korporativ trening!"
"552","833","Jadval: 6/1 (9 soat)"
"553","834","???????? ??????"
"554","834","????? ???????????? ???"
"555","836","Oylik ko'tarib beriladi"
"556","837","????????? ????"
"557","837","???????? ? ???????????????? ???????????"
"558","837","??????? ?? ???? ????????"
"561","841","?????? ??????: 6/1 ??????????? - ????????, ? 8.30 ?? 19.00"
"562","841","?????????????? ????????? ????? ????????? ?? ?????????? ?????? ??? ?????????????? ??????????."
"563","841","?? ?? ????????????? ???? 1.500.000 ???"
"564","842","?? ???????: 6/1, 08:00-18:00"
"565","842","?????????? ???????????? ?????? ??????????"
"566","842","????? ???????? ????? ????????????"
"567","842","??????????????? ???????? ???????? ????? ????????"
"568","842","????????? ???? ?????????"
"570","844","Qarindoshlaringizni IT sohalarida o'qitish uchun chegirma"
"571","844","Til o'rganish va kitob sotib olish uchun chegirmalar"
"572","844","Kuchli, ahil jamoa!"
"573","844","Kontrakt to'lovingizni oylikdan ushlab qolish sharti bilan bir martada, oldindan to'lab beramiz"
"574","844","Pedagogik ko'nikmalarni oshirish uchun treninglar"
"575","844","300 dan ortiq mutaxassislar bilan networking"
"576","844","Samaradorlikka ko'ra oylik maoshning oshishi"
"577","844","Turli mavzularda maxsus master-classlar"
"578","845","Offline ish soatlarida 8:30-18:00"
"579","846","Qo'shimcha premiyalar mavjud."
"580","847","Ish vaqti: 10:00dan 22:00gacha"
"581","848","Yangi hodimlar uchun tuilik uquv kurslari"
"582","848","Bonuslar va premiyalar eng faol hodimlar uchun"
"583","848","Korporativ raqamlar aloka uchun"
"584","850","Sanitarkalikka ayol va qizlarni ishga qabul qilamiz"
"585","850","Talablar: Hushmuomilalik ishga oÆz vaqtida kelishi va halollik"
"586","850","Ish vaqti: 8:00 dan 17:00 gacha"
"587","850","Receptionga qizlarni ishga qabul qilamiz"
"588","851","???? ?????? ???????"
"589","852","For consultation, contact @scattravel."
"592","854","?? ???????? 25-35 ????"
"593","854","2 ??? ????? ??????? ????? ???????? (????? ??????????)"
"594","855","Kafolatlar: Moslashuvchan jadval, uyga yaqin ishlash imkoniyati, bepul trening, martaba o'sishi imkoniyatlari"
"595","856","ASOSIY KANAL 1MLN telegram orqali ulanish"
"596","857","Do'stona jamoa"
"597","857","Bepul trening"
"598","857","Rasmiy ish bilan ta'minlash"
"599","858","???? ?????? ??????? ????? ????????."
"600","859","Mehnart kodeksi boÆyicha rasmiy ishga qabul qilish"
"601","859","0dan boshlab sohani toÆliq oÆrgatamiz"
"602","859","Ijodiy muhitga ega kompaniyada ishlash"
"603","859","Kasbiy o'sish va ijodiy g'oyalarni amalga oshirish imkoniyatlari"
"604","859","Zamonaviy salonda qulay ish sharoitlari"
"606","861","?????????? ??? ???? ????? ???????"
"607","862","ToÆlov oyiga 2 marotaba"
"608","863","Tushlik va qoshimcha xarajatlar ishxona xisobidan."
"609","863","Ish vaqti 6 ish kuni + yakshanbi ixtiyoriy."
"610","863","Toshkent region"
"611","864","Ish vaqti soat 08:30 dan 17:00 gacha"
"612","864","Tushlik: korxona hisobidan"
"613","865","Telegramda yozing: @Said_HRS, @Zuxra_hr (Kadrlar bo'limi), @modest_muslim (Restoran shefi)"
"614","866","?????????? ???????????? ?? ?????????????, ????? ??????????."
"615","867","1 smena 8 oo dan 17 oo gacha"
"616","867","2 smena 16 oo dan 00 oo gacha"
"617","869","Oyligimiz 5 million aministratorlar uchun, 2.5-3 million farroshlar uchun"
"618","870","Masofaviy ish emas"
"619","871","Call only between 10:00 to 20:00"
"620","873","Jinsi: Ayol (Qiz)"
"621","873","Yoshi: 18-35"
"622","873","ISH VAQTI: 05:00 dan 09:00 gacha"
"623","873","OYLIK MAOSH: Suhbat davomida"
"624","873","MO'LJAL: Targofka"
"628","875","???? ?????????? ???, ???????? ?? ?????? ??? ????? ????? ???? ???? ??????? ???????? ??????? ????? ??????? ???????? ??????."
