"id","job_id","occupation"
"98","581","Mebel ishchi"
"99","582","?????"
"100","583","Administrator"
"101","584","Qadoqlovchi"
"102","584","Saralovchi"
"103","584","Veterinar"
"104","584","Tovuq parvarishchi"
"105","584","Qassob"
"106","584","Gosht bolaklarga boluvchi"
"107","584","Gosht suyagidan ajratuvchi"
"108","584","Inkubator ochiruvchi"
"109","584","Oshpaz"
"110","584","Farrosh"
"111","585","Naklenka yopishtiruvchi"
"112","586","Qizlar uchun ish"
"113","586","Detskiy koÆylak"
"114","587","????????"
"115","587","?????"
"116","589","Sotuvchi"
"117","589","Kassir"
"118","589","Xodim"
"119","590","Kuryer"
"120","591","Savdo agenti"
"121","592","Opa-singillar"
"122","594","??? ??????? ?????"
"124","598","Farrosh"
"125","598","Bog'bon"
"126","599","???? ??????? ????? ???????"
"132","601","?????? ??????"
"133","602","Oziq ovqat dokon ishchisi"
"134","603","Front-End Developer"
"135","604","Sotuv menejeri"
"136","605","Python Developer"
"137","606","Sales"
"138","606","Marketing"
"139","606","Customer Service"
"140","606","Management"
"141","607","????? ??????"
"142","607","?????????"
"143","608","Coffee Lady"
"144","609","Call Center Operator"
"146","611","Sotuv menejeri"
"147","612","??????? ????"
"148","613","Construction Worker"
"149","613","Builder"
"150","615","Targovyi agent"
"151","616","Operator"
"152","617","Dasturchi"
"153","618","Software Developer"
"154","619","Dastafchik"
"155","621","???? ??????? ?????????"
"157","624","Brand Face Model"
"158","625","T⌡quvchi-Operator"
"159","626","????????"
"160","627","Ozlashtiriladigan ish pozitsiyasi"
"161","628","Painter"
"162","628","Facade Worker"
"163","628","Mechanic"
"164","628","Finisher"
"165","628","Electrician"
"166","628","Plumber"
"167","628","Excavator Operator"
"168","628","Driver"
"169","628","Bulldozer Operator"
"171","631","Call Center Operator"
"172","632","Call Center Manager"
"173","633","??????????"
"174","634","???????"
"175","634","????????????????"
"176","636","???????"
"177","637","Ofitsiant"
"178","640","Frontend Developer"
"179","642","Amaliyot uchun"
"180","643","Front-End Developer"
"182","645","iOS developer"
"183","645","Xodim"
"184","646","Dasturchi"
"185","647","Developer"
"186","648","Frontend Developer"
"187","649","Tarmoq mutaxasis"
"188","650","Operator"
"189","653","Mebel ustaxonasi ishchisi"
"190","656","Tozalik xodimasi"
"191","657","?? ????????"
"192","658","OÆrtachirchiq"
"193","659","?????????????"
"194","660","Onlayn ish"
"195","661",""
"196","662","Gilam yuvi"
"197","663","Production Worker"
"198","664","??????????? ???????"
"199","665","Operator"
"200","666","?????? ??????????"
"201","667","?????????????"
"202","668","Universal xodim"
"203","668","Sotuvchi-kassir"
"204","668","Do'kon xizmatlari"
"205","669","SOTUV MENEDJERI"
"206","670","Savdo Agenti"
"207","671","???????"
"208","672","Sotuvchi Konsultant"
"209","672","Kassir"
"210","673","Sales Manager"
"211","673","Call Center Operator"
"212","674","Qadoqlash"
"213","674","Qurilish"
"214","675","Frontend Developer"
"216","677","Infografik dizayner"
"217","681","Call Center Operator"
"218","682","Kimyoviy tozalashga gilam yuvish xodimi"
"219","683","Ishchi"
"220","684","Dasturlashchi"
"221","685","???????????????? ??????"
"222","686","Haydovchi"
"223","687","????? ???????????? ??????"
"224","688","Sotuvchi"
"225","690","Shofir"
"226","691","Sotuv Menedjeri"
"227","693","Model"
"228","695","Middle PHP Developer"
"229","696","??????"
"230","697","Shofer"
"231","697","Raznorabochiy"
"232","698","Dasturchi"
"233","699","Backend Developer"
"234","700","Mebel ustasi"
"235","701","Dazmolchi"
"236","701","Tikuvchi"
"237","701","Qadoklovchi"
"240","703","Tijoratchi"
"241","703","Qishloq xo'jaligi boshqaruvchisi"
"242","703","Xadimgar"
"243","703","Qadrdon"
"244","704",""
"245","705","Sales Manager"
"246","705","Customer Service"
"247","706","Oxrana"
"248","707","Factory Worker"
"249","708","Xodim"
"250","709","Ishlab chiqarish/taÆmirlash"
"251","710","Social Media Manager"
"252","711","Java Developer"
"253","712","Call Operator"
"254","714","Tikuvchi"
"255","714","Oshpaz"
"256","714","Texnolog kanstruktor"
"257","714","To'quvchi operator"
"258","715","Ishchi"
"259","716","??? ????????"
"260","716","??????"
"261","717","Sotuv menejeri"
"262","718","Tikuvchi"
"263","719","Sales"
"265","721","???????-??????????"
"268","723","Ingliz tili o'qituvchisi"
"269","723","Sotuv menejeri"
"270","723","Matematika o'qituvchisi"
"271","724","??????"
"272","725","Part-time"
"273","725","Qizlar"
"274","726","????-???????"
"275","726","??????????"
"276","727","Universal Hodim"
"280","731","Sotuvchi"
"281","733","Sotuv Menejeri"
"282","734","Sotuv menejeri"
"283","735",""
"284","736","Sabzavotkor"
"285","737","Ishlab chiqarishi"
"286","738","Reklama Manager"
"287","739","Mobilografman"
"288","740","Parda dizayneri"
"289","742","Sales Representative"
"290","743","Promoter"
"291","744","Kimyoviy tozalash xodimi"
"292","745","Ishchilar"
"293","746","Junior Developer"
"294","746","Fullstack Developer"
"295","747","Sotuv agenti"
"297","749","Social Media Worker"
"298","750","Call center representative"
"299","750","Operator"
"300","751","Operator"
"301","752","Sotuvchi"
"302","753","Ofitsan"
"303","753","Oshpaz"
"304","754","Ofitsiant(ka)"
"305","755","Call Center Operator"
"308","757","????????"
"309","758","Operator"
"310","760","SMM"
"311","762","Call Center Operator"
"312","764","Gilam yuvachi"
"313","765","Servis Menedjeri"
"314","766","Kuryer"
"315","767","?????????? ??????? ???????"
"316","768","Chef"
"317","769","Massajist"
"318","770","Avia kassa"
"319","771","Menejer"
"320","772","T⌡quvchi-Operator"
"321","773","Yotoqchi"
"322","774","Operator"
"323","775","Sotuvchi"
"324","775","Konsultant"
"325","777","???? ????? ?????????"
"326","778","????????"
"327","779","Ishchi"
"328","780","Samosval mashinisti"
"329","780","Tyaqach mashinisti"
"330","780","Avtogreyder mashinisti"
"331","780","Avtokran mashinisti"
"332","780","Betom nasos operatori"
"333","780","Betom nasos mashinisti"
"334","780","Vilochli poyga mashinisti"
"335","780","Ekskavator mashinisti"
"336","780","Buldozer mashinisti"
"337","780","Agregatchik"
"338","780","Autoelektrik"
"339","780","Motorist"
"340","780","Mehanik"
"341","780","Akkumlyatorshchik"
"342","780","Elektrogazo sochiq"
"343","780","Mednik"
"344","780","Avtomobil tamirlash ustasi"
"345","780","Tokar"
"346","780","Kuzovshchik"
"347","780","Vulkanizatorshchik"
"348","781","Videograf"
"349","782","???????"
"350","783","Mebel ishchi"
"351","784","???????? call-??????"
"352","785","Sotuv"
"353","785","Marketing"
"354","787","Operator"
"355","787","Yig'uvchi-qadoqlovchi"
"356","788","Toshlar tayyorlash ishchi"
"357","790","Menedjer"
"358","790","Sales"
"359","790","Marketing"
"361","792","?????"
"362","793","Sotuvchi-kassir"
"363","793","Universal xodim"
"364","795","????????"
"365","796","Kuryer"
"368","800","Call Centre Operator"
"369","801","Operator"
"370","802","Call Center Operator"
"371","803","OÆrtachirchiq"
"372","804","Marketing"
"373","804","Sotuvchi"
"374","804","Mebelchi"
"375","804","Shartnoma"
"376","804","Shaxsiy Labo"
"377","804","Yuk tashuvchi"
"378","804","Omborchi"
"379","806","??????? ????? ???????"
"381","808","????"
"382","811","Sotuv Menegeri"
"383","812","Advertising Production Master"
"384","814","???????? ?? ????????"
"386","817","???? ????????"
"388","820","Graphic Designer"
"389","821","Moykachi"
"390","822","Operator"
"391","823","???? ??????? ?????????"
"392","824","???????"
"393","826","Kafe xodimi"
"394","826","Ofitsiantka"
"395","826","Uborkachi"
"396","827","Sales Manager"
"397","827","Call Center"
"398","828","UX dizayner"
"399","828","UI dizayner"
"400","829","?? ????? (?????????) ?????????"
"401","830","Sotuvchilik"
"402","831","??? ???????????"
"403","833","Promouter"
"404","834","?? ?????????"
"405","835","Community Manager"
"406","836","Yuvchi"
"407","837","??????"
"408","837","????????"
"409","837","???????????"
"410","839","Paket fabrikasi ishchisi"
"412","841","????????-???????????"
"413","842","??????? ????????????"
"415","844","Frontend Developer"
"416","844","Mentor"
"417","845","Aloqa operatori"
"418","847","Sotuvchi"
"419","848","Call Center Specialist"
"420","849","Savdo Menegeri"
"421","850","Uvash"
"422","850","Kojinniy"
"423","850","Parazitolog"
"424","850","Pediatr"
"425","850","Gastroentolig"
"426","850","Infiksionest"
"427","850","Nevrapatolig"
"428","851","Baker"
"429","855","Universal xodim"
"430","855","Sotuvchi-kassir"
"431","856","Customer Service"
"432","856","Call Center Operator"
"433","857","Savdo menejeri"
"434","857","Kuryer"
"435","858","????????????"
"436","858","??????"
"437","858","??????"
"438","859","Parda dizayneri"
"439","861","???????-??????????"
"440","864","Dazmolchi"
"441","864","Malakali tikuvchi"
"442","864","Qadoklovchi"
"443","865","Povar"
"444","866","???????? ?? ????????"
"445","867","Ranner"
"446","867","Hostes"
"447","867","Ofitsant"
"448","867","Barman"
"449","868","Usta"
"450","869","Administrator"
"451","869","Farroshlar"
"452","870","Yordamchi"
"453","870","Povar"
"454","871","Customer Service"
"455","871","Operator"
"456","871","Sales"
"457","872","Qiz bola ishchi"
"458","873","Kuzatuvchi"
"464","875","????????"
"465","876","Ofitsiant"
"466","878","Texnolog kanstruktor"
"467","878","Tikuvchi"
"468","878","Oshpaz"
"469","878","To'quvchi operator"
"470","880","??????? ?????????? ????? ???????"
"471","881","Administrator-kassirlar"
"472","885","Sotuv menejeri"
"473","886","Salafan ishlab chiqarish"
"474","887","Food industry"
"476","890","??????????? .NET"
"477","891","Svitilnik ishchi"
"478","892","Call Center Operator"
"479","893","???????????"
"480","893","??????????"
"481","893","????????"
"482","893","?????? ???????? ? ????????"
"483","894","Montajchi"
"485","896","Sotuv Menejeri"
"486","897","Cleaner"
"487","897","Accountant"
"488","898","Sotuv menejeri"
"491","900","????????????"
"492","901","Plastmasa ishlab chikarish"
"493","903","Savdo menejeri"
"494","904","Tom yopuvchi"
"495","904","Metall konstruksiyalarni o?rnatuvchi"
"496","904","Kafelchi"
"497","904","Prorab"
"498","904","Rassom"
"499","904","Fasad montajchisi"
"500","904","Umumiy ishchi"
"501","904","Yuqorida aytib o'tilgan mutaxassislarga prorab"
"502","906","??? ????????"
"503","906","??????"
"505","909","AKFA USTASI"
"506","909","ALIKAFON USTALARI"
"507","909","MEBEL USTASI"
"508","909","DURADGOR UNIVERSAL USTA"
"509","909","TUNIKAFON USTALARI"
"510","909","PAYVANDCHI (SVARCHIK)"
"511","910","Call Markazi"
"512","910","Operator"
"513","913","???????? ?????????????"
"514","915","Maxsulot qabulchisi"
"515","916","Ishchilar"
"516","916","Tikuvchi"
"517","918","Farrosh"
"518","920","Promouter"
"519","922","Qonuniy ish"
"520","923","Receptionist"
"523","926",""
"529","931","Grafik dizayner"
"530","932","Nazorat boshqarmasi"
"531","933","Service Worker"
"533","935","????-????????"
"534","935","?????????????????"
"535","936","????? ????????"
"536","937","Zborkachi"
"537","937","Operator"
"538","938","Telecommunication Sales Executive"
"539","939","Cook"
"540","939","Server"
"541","939","Cashier"
"542","941","IT Ta'lim"
"543","941","O'qitish"
"544","942","Haydovchi"
"545","942","Menejer"
"546","942","Yurist"
"547","942","Buxgalter"
"548","942","Adminstrator"
"549","942","Arxitektor"
"550","942","Prorab"
"551","942","Ustalar"
"552","942","Bog'bon"
"553","942","Somsapaz"
"554","942","Farrosh"
"555","942","Bosh oshpaz"
"556","942","Shashlikchi"
"557","942","Salatchi"
"558","942","Posudamoychik"
"559","942","Kassir"
"560","942","Mobilograf / Smm"
"561","943","Teacher"
"562","943","Educator"
"563","944","Sotuv agenti"
"564","945","Social Media Marketing"
"565","946","Sotuv menajeri"
"566","948","???????"
"567","949","Sotuvchi"
"568","950","Offitsiantlik"
"569","951","Sotuv menejeri"
"572","954","Gilam yuvuvchi"
"573","955","Online Work"
"575","957","Sotuv  menedjeri"
"576","958","Qiziqarli lug'at-majuzalar bajarilishiga qiziqarli"
"577","959","Operator"
"578","960","Cook"
"579","960","Officiant"
"580","961","Sotuv Operatori"
"581","962","Qiziqan insonlar uchun ish"
"582","963","Operator"
"584","965","Povir dastafchik"
"585","966","Sotuv menedjeri"
"586","967","Savdo menejeri"
"587","968","Kuryer"
"591","974","Operator"
"592","975","Targetolog (Ads)"
"593","977","Sotuv menejeri"
"594","978","Sotuv Menejeri"
"595","979","????????????"
"596","979","??????"
"597","979","??????"
"598","980","Qidiruv"
"599","981","Povar"
"600","981","Povar yordamchisi"
"601","982","Cleaning"
"602","983","Call Center"
"603","984","Sales"
"604","984","Customer Service"
"605","985","Operator"
"606","987","Fabric worker"
"607","988","Aviation"
"608","989","Mebel ishchisi"
"609","990","?????"
"610","991","???????"
"611","991","?????????? ??????"
"612","991","Operator kol-?????"
"613","992","Kuryer"
"614","993","Kassir"
"615","993","Sotuvchi"
"616","993","Universal xodim"
"618","999","Menejer yordamchisi"
"619","1000","Operator"
"620","1001","Sotuv Menegeri"
"622","1004","Call Center Manager"
"623","1008","O???????"
"624","1008","???????????"
"625","1008","??????"
"626","1009","Admin"
"630","1012","????????-???????????"
"631","1013","Sotuvchi"
"632","1014","????"
"633","1015","???????? ?????"
"634","1016","Middle Mobile ???????????"
"635","1016","Flutter Developer"
"636","1017","Mebel ustaxonasi ishchi"
"637","1018","Cleaning"
"645","1020","Qandolatchilik ishi"
"646","1021","?????"
"647","1021","????????"
"648","1021","???? ?????? ???????"
"649","1022","Call-center operator"
"650","1023","Fabrikat ishchisi"
"651","1024","Call Center Operator"
"652","1025","Situv menejeri"
"653","1026","Operator"
"654","1026","Office Assistant"
"655","1027","Baliqchilik"
"656","1028","Isshchi"
"657","1029","Tozalik hodimasi"
"658","1030","Sotuv menejeri"
"659","1031","Menejerlik"
"660","1031","Sotuv"
"661","1032","Ishlab chiqarish"
"662","1033","Ishchi"
"663","1035","Maxsus nazorat"
"664","1035","Targ'ibotchilar"
"665","1036","Temir erituvchi"
"666","1036","Liteyshik"
"667","1037","Ishchi"
"668","1038","Montajchi"
"669","1039","????"
"670","1040","SAVDO"
"671","1041","ALIKAFON USTALARI"
"672","1041","DURADGOR UNIVERSAL USTA"
"673","1041","MEBEL USTASI"
"674","1041","TUNIKAFON USTALA"
"675","1041","PAYVANDCHI (SVARCHIK)"
"676","1041","AKFA USTASI"
"677","1042","Sotuvchi"
"678","1042","Kassir"
"679","1042","Universal xodim"
"680","1043","Menejer"
"682","1046","Avto chexol tikuvchi"
"683","1048","???????"
"684","1049","??????"
"686","1052",""
"691","1054","Sotuvchilik"
"692","1055","Ishchi"
"693","1056","Reklama menejeri"
"694","1057","Operator"
"695","1057","Call Center nutqchisi"
"696","1058","???????"
"697","1059",""
"699","1061","?????"
"700","1062","Parda Dizayneri"
"701","1064","Duradgorchi"
"702","1065","Ishchi"
"703","1066","Uborkachi"
"704","1066","Moykachi"
"706","1068","Sotuvchi"
"707","1069","?????????? ?????????"
"708","1070","Tikuvchi"
"709","1070","Dazmolchi"
"710","1070","Qadoklovchi"
"711","1071","Sotuv menejeri"
"712","1072","Sotuv menejeri"
"713","1074","Torgoviy agent"
"714","1074","Dostavchik"
"715","1075","Choy/coffee ishchisi"
"716","1075","Kassir"
"717","1076","Sales"
"718","1078","Meblex"
"719","1079","Savdo Menenjeri"
"720","1080","Sales"
"721","1081","Receptionist"
"722","1081","Administrator"
"723","1082","???????? ????-??????"
"724","1083","Erkaklar"
"725","1083","Ayollar"
"727","1085","Sotuv menejeri"
"728","1087","Investor"
"732","1091","Front Desk Agent"
"733","1091","Cook"
"734","1091","Housekeeper"
"735","1091","Waiter/Waitress"
"736","1092","sotuvchi"
"737","1094","Promouter"
"739","1096","????????"
"740","1096","??????"
"741","1096","????? ???????? ????"
"742","1096","?????????"
"743","1097","Sotuv va marketing"
"744","1098","Model"
"745","1100","Massajchi"
"746","1101","Cosmetologist"
"747","1101","Cleaner"
"748","1101","Massage Therapist"
"749","1101","Manicurist"
"750","1102","Offitsiantlik"
"751","1103","Sotuv menejeri"
"752","1104","???????"
"753","1105","???????????"
"754","1106","Biznes assistent"
"755","1108","Sotuv agenti"
"757","1111","Sotuvchi"
"758","1112","Sotuv Operatori"
"759","1113","??????????-??????? ????????"
"760","1114",""
"761","1115","Sotuv"
"762","1115","Operator"
"763","1116","Sales Manager"
"764","1116","Call Center Operator"
"765","1117","Reklama bo'limi mutaxassisi"
"766","1117","Undiruv bo'limi mutaxassisi"
"767","1118","Operator"
"768","1119","ofitsan"
"769","1119","oshpaz"
"770","1120","??????? ???????"
"771","1121","Yozuvchi"
"772","1122","Medical Field"
"773","1123","N/A"
"774","1127","Kuryer"
"775","1128","Model"
"776","1129","?????"
"777","1129","???????"
"778","1129","????????"
"779","1129","???????"
"783","1132","Tovuk maydalovchi"
"784","1132","Pishiruvchi"
"785","1132","Talab"
"786","1133","????? (?????)"
"788","1135","T⌡quvchi-Operator"
"790","1137","Construction Worker"
"791","1137","Concrete Worker"
"792","1137","Rebar Worker"
"793","1137","Facade Worker"
"794","1137","Welder"
"795","1137","Metal Construction Installer"
"796","1137","Plasterer"
"799","1139","Sotuv Operatori"
"800","1140","????????"
"801","1141","Operator"
"802","1142","Runners"
"803","1142","Waiters"
"804","1142","Supervisors"
"806","1144","?????"
"808","1146","Sotuvchilik"
"809","1146","Xisob kitobchi"
"810","1147","Haydovchilik"
"811","1148","Mebel ishchi"
"812","1149","HR Effect"
"813","1151","Tibbiyot sohasi"
"814","1153","Kuryer"
"815","1155","Ishchi"
"816","1156","Call Center Operator"
"817","1157","Trade Agent"
"819","1159","Sotuv Operatori"
"821","1164","Administrator Receptionist"
"823","1168","Savdo menejeri"
"824","1170","?????? ????? ???????"
"825","1171","?????????????????"
"826","1171","????-????????"
"827","1172","Prodyuser"
"828","1172","Senarist"
"829","1172","Piar menejer"
"830","1173","Kafe xodimi"
"831","1174","Not specified"
"833","1176","Oshpaz"
"834","1176","Officiant"
"835","1178","??????????"
"836","1178","????????"
"837","1178","????? ?????????"
"838","1180","Shkurkachi"
"839","1182","Corporate Merchandiser"
"840","1182","Investor"
"841","1182","Tourism Manager"
"842","1183","Tikuvchilar"
"843","1184","?????????"
"844","1184","???????"
"845","1184","????????"
"846","1184","???????"
"847","1184","??????? ???????? ?????????"
"848","1186","????????????"
"849","1187","Kreditor"
"850","1188","ofitsantlik"
"851","1188","idish yuvish"
"852","1188","farroshlik"
"853","1189","????????-???????????"
"854","1190","Machine Operator"
"855","1190","Electrician"
"856","1190","Mechanic"
"857","1190","Technician"
"858","1191","Taom do'koni xizmatkorlari"
"859","1191","Sotuvchi"
"860","1192","????? ?????????"
"861","1192","??????? ?????????"
"862","1193","Call Centre Operator"
"863","1193","Sales Manager"
"864","1194","SMM Manager"
"865","1195","Afy'siyon"
"866","1195","Ish yurutuvchi"
"867","1195","Barman"
"868","1196","Ayollar"
"869","1197","Savdo agentlari"
"870","1198","Oziq ovqat sotuvchi"
"872","1200","???????"
"873","1200","????????????????"
"874","1200","????????? ????????"
"875","1201","Fasad ishchisi"
"876","1201","G'ish teruvchi ustalar"
"877","1201","Laminat ustasi"
"878","1202","Operator"
"879","1203","Ishchi"
"880","1205","Barman"
"881","1205","Ranner"
"882","1205","Hostes"
"883","1205","Ofitsiant"
"884","1206","????????"
"887","1209","Gilam yuvish"
"888","1210","????"
"889","1210","?????"
"891","1212","Yi'g'itlar"
"892","1212","Bashqalar"
"893","1212","Yutchilar"
"894","1212","Ochilar"
"895","1212","Gurlar"
"896","1213","???????? ?? ????????"
"897","1214","?????????????"
"898","1215","Barista"
"899","1215","Kassir"
"900","1216","Targoviy agent"
"901","1217","Kolorist"
"902","1217","Kauchuk Podoshva Stanok"
"903","1217","EVA Podoshva Stanok"
"904","1219","Fasonlar"
"905","1220","Sotuv operatori"
"906","1221","Sotuv"
"907","1222","Massaj terapevti"
"908","1223","Ishchi"
"909","1224","Sotuvchi"
"910","1224","Ovqat Sotuvchi"
"911","1226","Sales"
"912","1226","Customer Service"
"913","1227","Chaqqon qiz ayollar"
"914","1229","Sotuvchi Ovqat Sotish"
"916","1233","Sotuvchi"
"917","1233","Gruznik"
"918","1235","leader hamkorlar"
"919","1236","Savdo-Sotuv"
"920","1237","Tikuvchi"
"923","1240","Student Promoter"
"924","1242","Massage Therapist"
"925","1242","Cleaner"
"926","1242","Nail Technician"
"927","1242","Cosmetologist"
"928","1243","Povir dastafchik"
"929","1244","Qizlar uchun ish o'rinlari"
"930","1245","Dizayner"
"931","1245","Parda dizayneri"
"932","1246","Data Scientist"
"933","1247","Sotuv menejer"
"934","1248","Hizmat sohasi"
"935","1250","Reklama agent"
"936","1250","Texnik muhandis"
"937","1251","Offitsiant"
"938","1252","Sotuvvakil"
"939","1253","Erkaklar"
"940","1254","Sotuv xizmatlari"
"941","1255","???????? ?? ????????"
"942","1256","Sotuvchi"
"943","1256","Kassir"
"944","1258","Social Media Manager"
"945","1259","Operator"
"946","1260","Menedjer"
"947","1261","Sotuv Operatori"
"948","1262","Operator"
"949","1263","Call-?????? ????? ????????"
"951","1265","Sotuv menejeri"
"952","1266","???????? ?????"
"953","1267","Sotuv operatori"
"954","1268","Undiruv bo'limi mutaxassisi"
"955","1268","Reklama bo'limi mutaxassisi"
"956","1269","Turnuvchi"
"957","1269","Ishmolchi o'qituvchi"
"958","1269","Talabalik o'quvchisi"
"959","1269","Menejer"
"960","1270","Ofitsan"
"961","1270","Oshpaz"
"962","1271","Haydovchi"
"964","1274","Sales Manager"
"965","1275","Sotuv menedjeri"
"966","1276","Reklama menejeri"
"967","1278","?????????? ??????"
"968","1279","Kopirayter"
"969","1279","Komyuniti Menejer"
"970","1280","Courier"
"971","1281","Metall ishchisi"
"972","1283","Kolorist"
"973","1283","Kompozitor"
"977","1287","Operator"
"979","1289","Kuryer"
"980","1290","?????????"
"981","1290","????????"
"982","1290","???????"
"983","1290","???????"
"984","1290","??????? ???????? ?????????"
"985","1291","Qadoqlovchi"
"986","1291","Inkuvator ochiruvchi"
"987","1291","Gosht bolaklari"
"988","1291","Farrosh"
"989","1291","Saralovchi"
"990","1291","Qassob"
"991","1291","Oshpaz"
"992","1291","Veterinar"
"993","1292","Unknown"
"994","1293","T⌡quvchi-Operator"
"995","1294","Sotuv Operatori"
"996","1295","????? ?????? ????????"
"997","1295","????????"
"998","1297","Fabricator"
"999","1297","Chang'an"
"1000","1298","Operator"
"1001","1299","Targovyy agent"
"1003","1301","????????"
"1004","1302","Menejer yordamchisi"
"1005","1303","Dokon bo'limida ishchi"
"1006","1304","Sotuv operatori"
"1007","1305","????? ??????"
"1008","1305","?????????"
"1010","1308","Operator"
"1011","1308","Sales Manager"
"1012","1310","Factory Worker"
"1013","1310","Supervisor"
"1014","1310","Driver"
"1015","1310","Mechanic"
"1016","1310","Electrician"
"1017","1310","Warehouse Supervisor"
"1018","1310","Welder"
"1019","1310","Bus Driver"
"1020","1310","Truck Driver"
"1021","1310","Hotel Staff"
"1022","1310","Construction Worker"
"1023","1312","Tibbiyot sohasi"
"1024","1314","Sotuv operatori"
"1025","1315","????????"
"1026","1315","????????"
"1027","1315","??????????"
"1028","1318","Do'kon ma'murlari"
"1029","1318","Do'kon direktorlari"
"1030","1320","????-????????"
"1031","1320","?????????????????"
"1032","1321","Haydovchi"
"1033","1324","Call Center sotuv operatori"
"1034","1325","Qurilish"
"1035","1325","Dastavka"
"1036","1325","Shokalad fabrikasi"
"1037","1325","Ustachilik"
"1038","1325","Molyarlik"
"1039","1325","Yog'ochsozlik"
"1040","1325","Non sexi"
"1041","1325","Haydovchilik"
"1042","1325","Mashinasozlik"
"1043","1325","Sotuvchilik"
"1044","1325","Zavodda ishlar"
"1045","1325","Bog'bonchilik"
"1048","1329","Ishchi"
"1056","1331","HURMAT BILAN O'QONING"
"1057","1333","targoviy agent"
"1058","1334","Ishchi"
"1059","1335","Sales Agent"
"1060","1336","Cleaning staff"
"1061","1337","Sotuv va Reklama Menedjeri"
"1062","1339","Telekommunikatsiya"
"1063","1339","Xizmatlar"
"1065","1342","Gilam yuvishchi"
"1068","1346","????????"
"1069","1346","???????????"
"1070","1346","??????"
"1071","1347","Ofis Menejeri"
"1072","1348","Uborkachi"
"1073","1348","Yuvorchi"
"1074","1349","Sotuvchi"
"1075","1350","Lumberjack"
"1076","1350","Cutter"
"1077","1350","Assistant"
"1078","1351","Gilam yuvish"
"1079","1352","Warehouse Worker"
"1080","1353","????????"
"1081","1354","Mijozlar bilan ishlash bo'limi"
"1082","1355","??????"
"1083","1357","Backend Developer"
"1084","1359","Tikuvchi"
"1085","1360","Operator"
"1086","1363","Tikuvchi"
"1087","1363","Biser"
"1088","1364","Kadoklash ishlari"
"1089","1364","Mahsulot ortgich keltirish"
"1090","1365","Administrator"
"1091","1365","Kassir"
"1092","1365","Xodim"
"1094","1367","????????-???????????"
"1095","1368","?????????"
"1096","1368","??????"
"1097","1368","?? ???????"
"1098","1368","???-???"
"1099","1369","????????"
"1100","1369","????????"
"1101","1369","??????"
"1102","1369","????????"
"1104","1371","Tuxum terishchi"
"1105","1372","????????"
"1106","1372","??????"
"1107","1373","Kassir"
"1108","1373","Barista"
"1110","1375","????"
"1111","1376","Frontend Developer"
"1112","1377","Sotuv operatori"
"1113","1378","Sotuv Menejeri"
"1119","1383","Montajchi"
"1120","1384","Ovozchi"
"1121","1385","Tikuvchi"
"1122","1386","Call Center Operator"
"1123","1387","Ishchi"
"1124","1388","Gruznik"
"1125","1388","Sotuvchi"
"1126","1389","????"
"1132","1391","Textile Designer"
"1133","1391","Interior Designer"
"1134","1392","Sotuvchi"
"1135","1392","Gruzchik"
"1136","1393","Kauchuk podoshva stanokiga"
"1137","1393","Kolorist"
