"id","is_job_vacancy","message_id","job_name","company_name","job_type","job_salary","job_descriptions","input_language","job_date","is_active","is_verified","created_at","updated_at"
"41","1","15","????? ???????? ????????","Prospero ??????????","Full-Time","????? ??????? ???????(5??? ??? 15 ??? ????)??????? ???? ??????","????? ????????? ?????????? ???? ?????? ???????.","uz","2024-09-21 15:21:52","1","0","2024-09-21 15:21:52","2024-09-21 15:21:52"
"42","1","6","?????????? ????? ????? ??????? ??????????","??????","Full-Time","3.700 000 ??? ?????????","????? ?? ?????????? ??????????? ????? ??????? ?????? ??????????? ??? ???? ??????? ?? ?????? ?????","uz","2024-09-21 15:21:52","1","0","2024-09-21 15:21:52","2024-09-21 15:21:52"
"43","1","17","???????","S H A M B O","Full-Time","500 $ - 1000 $","????? ???? ??","uz","2024-09-21 15:21:52","1","0","2024-09-21 15:21:52","2024-09-21 15:21:52"
"44","1","26","Sotuv Menejeri","SHARK SALES","Full-Time","3 000 000 dan 10 000 000 gacha","Sotuv bo'limini rivojlantirish bo'yicha konsalting kompaniyasida Sotuv Menejeri lavozimiga xizmat ko'rsatish.","uz","2024-09-21 15:21:52","1","0","2024-09-21 15:21:52","2024-09-21 15:21:52"
"45","1","42","Atir Sovun va Shampun Ishchi","EVERMORE CO","Full-Time","Erkak kishiga 2 500 000 som dan 3 500 000 som gacha, Ayol kishiga 2 200 000 som dan 2 500 000 som gacha","Atir Sovun va shampun ishlab chiqarish korxonasi","uz","2024-09-21 15:21:52","1","0","2024-09-21 15:21:52","2024-09-21 15:21:52"
"46","1","13","????? ????????","??????? ????????","Full-Time","4 000 000 - 10 000 000","????? ?????? ?????, ???? ?????????? ?????, ???? ???????? ?? ????? ??????????? ???????.","uz","2024-09-21 15:21:53","1","0","2024-09-21 15:21:53","2024-09-21 15:21:53"
"47","1","43","Atir Sovun va Shampun ishchi","EVERMORE CO MCHJ","Full-Time","Erkak kishiga 2 500 000 som dan 3 500 000 som gacha, Ayol kishiga 2 200 000 som dan 2 500 000 som gacha","Yigit va qizlarni ishga taklif etuvchi shampun va atir sovun ishlab chiqarish korxonasi","uz","2024-09-21 15:22:04","1","0","2024-09-21 15:22:04","2024-09-21 15:22:04"
"564","1","1100","???????? ?????????????? ??","???????? ????????????","Full-Time","2.500.000 - 3.500.000 so'm","????????????, ??????, ?????? ??????????? ????? ??","uz","2024-09-21 15:45:25","1","0","2024-09-21 15:45:25","2024-09-21 15:45:25"
"565","1","2100","Bolalar Dokoniga ish","Ujin Ishhona","Full-Time","2.500.000 somdan 3.000.000gacha","Bolalar Dokoniga ishga taklif qilinadi.","uz","2024-09-21 15:45:25","1","0","2024-09-21 15:45:25","2024-09-21 15:45:25"
"566","1","3100","Kuryer","Yandex.Eda","Full-Time","5.000.000 - 15.000.000 c??? oylik","Yandex.Eda kompaniyasiga Kuryerlar kerak.","uz","2024-09-21 15:45:25","1","0","2024-09-21 15:45:25","2024-09-21 15:45:25"
"567","1","4100","Menejerlikka ish","IQRO savdo majmuasi","Full-Time","1.500.000 so'm","O'g'il bollarni Menejerlikka ishga taklif qilish","uz","2024-09-21 15:45:26","1","0","2024-09-21 15:45:26","2024-09-21 15:45:26"
"568","1","5100","Oshpaz Ayol Qizlar Uchun Ish Imkoni","Mehmonhona","Full-Time","3.000.000 so'm","Toshkentdagi mehmonhonaga oshpaz ayol qizlarni ishga olamiz","uz","2024-09-21 15:45:26","1","0","2024-09-21 15:45:26","2024-09-21 15:45:26"
"569","1","6100","Operator","Champion english school","Full-Time","2.800.000 mln dan 5.000.000 mln gacha","Operator kerak","uz","2024-09-21 15:45:26","1","0","2024-09-21 15:45:26","2024-09-21 15:45:26"
"571","1","8100","Operator","not defined","Full-Time","5.000.000 - 20.000.000 O?zbek so?mi","Operator lavozimiga ishga taklif qilinadi. Shinam officda ishlash kerak.","uz","2024-09-21 15:45:27","1","0","2024-09-21 15:45:27","2024-09-21 17:06:09"
"572","1","9100","???? ??????","???? ????? ??????? ???????","Full-Time","80,000 ??????? 150,000 ????????","???? ????? ??????? ??????? ?? ????????? ????? ???? ?????? ?????","uz","2024-09-21 15:45:28","1","0","2024-09-21 15:45:28","2024-09-21 15:45:28"
"573","1","10100","Oyinchoq sehiga ish","not defined","Full-Time","2.500.000","Oyinchoq sehiga ishga taklif qilingan","uz","2024-09-21 15:45:28","1","0","2024-09-21 15:45:28","2024-09-21 17:06:09"
"574","1","11100","??????? ????????? ?????????????? ???? ?????","not defined","Full-Time","2.500.000 - 3.000.000 ???","????? 2.500.000-3.000.000??? ????? ????????","uz","2024-09-21 15:45:28","1","0","2024-09-21 15:45:28","2024-09-21 17:06:09"
"575","1","12100","Sotuv Operatori","not defined","Full-Time","3.000.000dan 20.000.000gacha","Call-markazda sotuv menedjeri sifatida ishlash","uz","2024-09-21 15:45:29","1","0","2024-09-21 15:45:29","2024-09-21 17:06:09"
"576","1","13100","Ish takliflari Xorazm bo'ylab","GARANT SAVDO MARKAZI","Full-Time","1.600.000 dan 5.000.000 gacha","Marketing, Shartnoma, Labo moshinasi haydovchi, Mebelchi, Sotuvchi qizlar, Yuk tashuvchi, Omborchi","uz","2024-09-21 15:45:29","1","0","2024-09-21 15:45:29","2024-09-21 15:45:29"
"578","1","15100","Sotuvchi-consultant va tikuvchi qizlar uchun ish imkoniyati","TAMUR jamoasi","Full-Time","1.700.000 so'm oylik","Sotuvchi-consultant va tikuvchi qizlarni jamoasiga ishga taklif","uz","2024-09-21 15:45:30","1","0","2024-09-21 15:45:30","2024-09-21 15:45:30"
"579","1","16100","Web Developer","not defined","Freelance","200$+","Frontend sohasida bilimimni oshirish va ahil jamoa bilan ishlash.","uz","2024-09-21 15:45:30","1","0","2024-09-21 15:45:30","2024-09-21 17:06:09"
"580","1","17100","Various positions at a cafe","MEHMON Cafe","Full-Time","Negotiable","Various positions available at a cafe in Andijon.","uz","2024-09-21 15:45:31","1","0","2024-09-21 15:45:31","2024-09-21 15:45:31"
"581","1","18100","Mebel Ischi","not defined","Full-Time","Kelishilgan maosh","MDF va LDSP bilan ishlash, mebel yig'ish, materiallarni tayyorlash va ularni yig'ish.","uz","2024-09-21 15:45:32","1","0","2024-09-21 15:45:32","2024-09-21 17:06:09"
"582","1","19100","????? ? ????","?????? ???????????? ????","Full-Time","7.500.000-8.000.000 UZS","?????? ?? ?????? ?????????? ????????? ????????? ????? ?????. ?? ????? 8:00-18:00 ????.","uz","2024-09-21 15:45:32","1","0","2024-09-21 15:45:32","2024-09-21 15:45:32"
"583","1","20100","Administrator","LUDEM HOTEL","Full-Time","Oylik maosh kelishilgan xolda","Hususiy mexmon xona boæyicha vazifalarni bajarish","uz","2024-09-21 15:45:32","1","0","2024-09-21 15:45:32","2024-09-21 15:45:32"
"584","1","21100","Tovuq fabrikasida bo'lish uchun ish imkoniyati","N/A","Full-Time","700$ - 1200$ gacha","Zudlik bilan erkak va ayollarni oylalilarni tovuq fabrikasida bo'lish uchun ishga taklif qilamiz.","uz","2024-09-21 15:45:33","1","0","2024-09-21 15:45:33","2024-09-21 15:45:33"
"585","1","22100","Naklenka yopishtirishga qizlar va ayollarni","Chinni mahsulotlari","Full-Time","2500 000 oylik ish haqqi 1-oy oærganish uchun, 5 000 000 gacha ishlasa boæladi","Yotoq joy va issiq ovqat ishxona hisobidan foydalanish imkoniyati","uz","2024-09-21 15:45:33","1","0","2024-09-21 15:45:33","2024-09-21 15:45:33"
"586","1","23100","Ayol qizlar uchun ish imkoniyati","not defined","Full-Time","Oylik: 2.000.000-6.500.000 so'm","Ayol qizlarni tikuv seximizda ishga taklif qilamiz. Detskiy koÆylak ishlab chiqariladi. Ish va yotog'i sharoit bilan.","uz","2024-09-21 15:45:34","1","0","2024-09-21 15:45:34","2024-09-21 17:06:09"
"587","1","24100","???????-??????????","????-????? ??????","Full-Time","2.000.000-6.000.000 UZS","???????-?????????? (????????) ???? ??????","uz","2024-09-21 15:45:35","1","0","2024-09-21 15:45:35","2024-09-21 15:45:35"
"588","1","25100","????? ????? ????? ????? ??????? ??????????? ???? ????","not defined","Full-Time","?????? 3.000.000 ??? ??? 4.000.000 ????","????? ??? ???? ????? ????? ????? ????????? ??? ????????","uz","2024-09-21 15:45:35","1","0","2024-09-21 15:45:35","2024-09-21 17:06:09"
"589","1","26100","Sotuvchi-kassir, Universal xodim","Olma Do'konlari","Full-Time","Belgilanmagan","Yangi olma do'konlarida sotuvchi-kassir va universal xodim bo'lish uchun vakansiya mavjud.","uz","2024-09-21 15:45:35","1","0","2024-09-21 15:45:35","2024-09-21 15:45:35"
"590","1","27100","Kuryer","Yandex eats","Part-Time","4.000.000 dan - 10.000.000 gacha daromad qiling","Kafe restoranlardan ovqat yetkazib berish xizmati.","uz","2024-09-21 15:45:36","1","0","2024-09-21 15:45:36","2024-09-21 15:45:36"
"591","1","28100","Savdo Agentligida Ish","Hilol Meat","Full-Time","Belgilangan oylik + bonuslar + rag'batlantirish tizimi","Ish haqida to'liq ma'lumot bilan bog'liq","uz","2024-09-21 15:45:36","1","0","2024-09-21 15:45:36","2024-09-21 15:45:36"
"592","1","29100","Koæylak toshlari ishiga taklif","Opa-singillar","Temporary","DOIMIY ISH VA OYLIK ╥Z VAQTIDA BERILADI","Koæylak toshlari tsexiga 30 yoshgacha boælgan harakati chaqqon b≥lgan opa-singillarimizni ishga taklif qilamiz.","uz","2024-09-21 15:45:36","1","0","2024-09-21 15:45:36","2024-09-21 15:45:36"
"594","1","31100","??? ???? -?????????","???????? ???????????","Full-Time","Daromad ishlashiga qarabá ??????????","??? ?????? ?????: ????????????, ??????????, ???? ????????, ?????????????, ???????? ?Æ??????????, ???Æ??????? ??? ????????????? ??? ??????? ??Æ????","uz","2024-09-21 15:45:37","1","0","2024-09-21 15:45:37","2024-09-21 15:45:37"
"597","1","34100","???????? ?????? ???????? ????? ??????????? ???","not defined","Full-Time","????? ?????????","??????? ?????? ????? ?? ?????? ???? ????? ???????!","uz","2024-09-21 15:45:38","1","0","2024-09-21 15:45:38","2024-09-21 17:06:09"
"598","1","35100","Sergeli GREEN PARK","not defined","Full-Time","Farrosh ayol - 2.500.000 so'm, Bog'bon - 3.000.000 so'm","Ishga taklif qiladi","uz","2024-09-21 15:45:39","1","0","2024-09-21 15:45:39","2024-09-21 17:06:09"
"599","1","36100","???? ????????? ??????? ????????? ???? ??????","???????? ???????","Full-Time","2.200.000??? - 4.000.000???","?????????? ??????? ???? ?? ???????? ?????","uz","2024-09-21 15:45:39","1","0","2024-09-21 15:45:39","2024-09-21 15:45:39"
"601","1","38100","????? ????? ?? ?????????","Ideal Ishonch Mebel","Full-Time","??????? ????????","????? ?????? ???????? ???? ??","uz","2024-09-21 15:45:40","1","0","2024-09-21 15:45:40","2024-09-21 15:45:40"
"602","1","39100","Oziq Ovqat Dokon Ishchisi","not defined","Full-Time","3.000.000 - 4.500.000 UZS","Yosh: 21-33 yoshda, dokonda ishlash borasida 1 yil staj zamonasi talab qilinadi","uz","2024-09-21 15:45:40","1","0","2024-09-21 15:45:40","2024-09-21 17:06:09"
"603","1","40100","Front-End Developer","not defined","Full-Time","400$+","Front-end developer position with a focus on HTML, CSS, Sass, Bootstrap, Node Js, React Js, Angular, Git, Figma, and JavaScript.","uz","2024-09-21 15:45:41","1","0","2024-09-21 15:45:41","2024-09-21 17:06:09"
"604","1","41100","Call markazga sotuv menejerlari","BIO PHARM","Full-Time","3-7+ mln soÆm","Biologik faol qoÆshimchalar sohasida oflayn 6/1 ish rejimida ish berish.","uz","2024-09-21 15:45:42","1","0","2024-09-21 15:45:42","2024-09-21 15:45:42"
"605","1","42100","Python Developer","not defined","Full-Time","300$+-","Jamoa bilan ishlash va o'z yo'nalishim bo'yicha yetuk mutaxassis bo'lish","uz","2024-09-21 15:45:42","1","0","2024-09-21 15:45:42","2024-09-21 17:06:09"
"606","1","43100","????? ???????????? ??","????? ??????????","Full-Time","3.000.000-6.000.000 + ????????","????? ???????????? ?? ?????? ????????.","uz","2024-09-21 15:45:42","1","0","2024-09-21 15:45:42","2024-09-21 15:45:42"
"607","1","44100","Smart Up ????????????? ??????? ????????? ?????","CHEESE CLUB","Full-Time","??????????","?? ????? 6/1. ??????? ??????? ?????? ????? ?????? ??? ?????. ?????? ????? ???????????? ??? ??????? ??????? (?????????)","uz","2024-09-21 15:45:43","1","0","2024-09-21 15:45:43","2024-09-21 15:45:43"
"608","1","45100","Coffee Lady at AYRITOM LOGISTIC CENTER","OOO AYRITOM LOGISTIC CENTER","Full-Time","Negotiable","Logistics center in Termiz is hiring female Coffee Lady for official document processing.","uz","2024-09-21 15:45:44","1","0","2024-09-21 15:45:44","2024-09-21 15:45:44"
"609","1","46100","Call Center Sotuv Menijeri","not defined","Full-Time","3.000.000 - 30.000.000 so'm oylik","Sotuv menijeri lavozimiga ayollar kasaligidan xabari bor bo'lsa, kamida 1 yil tajribaga ega mas'uliyatli va intizomli qizlarni, talaba qizlarni ham jamoamizga taklif qilamiz.","uz","2024-09-21 15:45:44","1","0","2024-09-21 15:45:44","2024-09-21 17:06:09"
"611","1","48100","SOTUV MENEJERI","Texnomart","Full-Time","4.000.000 dan 10.000.000 gacha (foiz+bonus+fiksa)","Sotuv menejeri ishi","uz","2024-09-21 15:45:45","1","0","2024-09-21 15:45:45","2024-09-21 15:45:45"
"612","1","49100","??????? ????? ??????? ?????????","not defined","Full-Time","????? 3.500,000 ??? ?? ????? ?????!","18 ????? 35 ?????? ?????? ????????? ???? ?????? ???????. ????? ???????? ??? ??????? ?????? ?????? ?????.","uz","2024-09-21 15:45:45","1","0","2024-09-21 15:45:45","2024-09-21 17:06:09"
"613","1","50100","Qurulishda Qolipchi (?????????)","not defined","Full-Time","Soat bay 6.000.000 - 7.500.000","Toshkentda ish bor, Qurulishda Qolipchi (?????????) kerak","uz","2024-09-21 15:45:45","1","0","2024-09-21 15:45:45","2024-09-21 17:06:09"
"614","1","51100","Mebel fabrikasiga mebel yeguvchi","not defined","Full-Time","2.500.000 + kunlik daromad","Mebel fabrikasiga mebel yeguvchi kerak.","uz","2024-09-21 15:45:46","1","0","2024-09-21 15:45:46","2024-09-21 17:06:09"
"615","1","52100","???????? ?????","?????? ????","Full-Time","3.500.000 fiksa +3% savdodan","Toshkent shahar tumanlari bo'yicha Targovyi agentlikka ishga taklif kilamiz","uz","2024-09-21 15:45:46","1","0","2024-09-21 15:45:46","2024-09-21 15:45:46"
"616","1","53100","Operator (call center)","?????????? ???????? ???","Full-Time","Oylik: 2.000.000dan boshlanadi","Operatory kiritimli, xushmuomalali va o'z ishida mas'uliyatli bo'lishi kerak.","uz","2024-09-21 15:45:47","1","0","2024-09-21 15:45:47","2024-09-21 15:45:47"
"617","1","54100","Dasturchi Shogird Kerak","not defined","Full-Time","1.5 - 3 million UZS","Junior darajada python, javascript, sql bilishi kerak","uz","2024-09-21 15:45:47","1","0","2024-09-21 15:45:47","2024-09-21 17:06:09"
"618","1","55100","Software Developer","not defined","Full-Time","200$","Ishlash","uz","2024-09-21 15:45:47","1","0","2024-09-21 15:45:47","2024-09-21 17:06:09"
"619","1","56100","Dastafchik vakansiya","Orzu burger","Full-Time","100.000 - 150.000 O'zbek so'mi","Afitsand va afitsanka povir dastafchik oqiydiganlar bezovta qilib otirmasin","uz","2024-09-21 15:45:48","1","0","2024-09-21 15:45:48","2024-09-21 15:45:48"
"621","1","58100","???? ??????? ?????????","not defined","Full-Time","3 000 000-10 000 000 (???????? ???????? %) ?????","???? ??????? ?????????","uz","2024-09-21 15:45:48","1","0","2024-09-21 15:45:48","2024-09-21 17:06:09"
"622","1","59100","Textil hodimi","A.S.A textil","Full-Time","Kelishiladi","A.S.A textilö sehimizga hodim kerak 25-40 yowlik erkaklar uchun. Seh toshkentda. Oylikni kelwgan holatda qberamiz. Sehimizda yotoqhona tualet homom va ajoyib jamoa bor.","uz","2024-09-21 15:45:49","1","0","2024-09-21 15:45:49","2024-09-21 15:45:49"
"624","1","61100","Media modellar bir joyda","Brand Face","Full-Time","N/A","Ijtimoiy tarmoqlarda bizneslarni so'zchisi va yuzi sifatida qatnashuvchilarni (brand face, modellar) bir joyga jamlayapmiz.","uz","2024-09-21 15:45:49","1","0","2024-09-21 15:45:49","2024-09-21 15:45:49"
"625","1","62100","T⌡quvchi-Operator","ISHONCH","Full-Time","Kelishilgan holda","Chaqqon qiz va ayollarni ishga taklif qilamiz","uz","2024-09-21 15:45:49","1","0","2024-09-21 15:45:49","2024-09-21 15:45:49"
"626","1","63100","????????","not defined","Full-Time","","??????????? ???? ????????, 18-25 ?????? ???????????? ???????? ????????.","uz","2024-09-21 15:45:50","1","0","2024-09-21 15:45:50","2024-09-21 17:06:09"
"627","1","64100","Ish pozitsiyasi","not defined","Full-Time","Belgilanmagan","Sharoiti bor 3 mahal ovqat bor. Turar joy bor. Ish soat 9 dan 19:00 gacha.","uz","2024-09-21 15:45:50","1","0","2024-09-21 15:45:50","2024-09-21 17:06:09"
"628","1","65100","Multiple Job Openings in Sakhalin, Russia","OOO MONOLIT YK","Full-Time","250-300 rubles per hour","Multiple job openings available in Sakhalin for various positions including finisher, facade worker, painter, mechanic, electrician, plumber, driver, bulldozer operator, excavator operator.","uz","2024-09-21 15:45:50","1","0","2024-09-21 15:45:50","2024-09-21 15:45:50"
"631","1","68100","Operator Qizlar uchun Call Center ishi","Leader Avto City","Full-Time","4.000.000 - 10.000.000","Xaqiqiy Call center nutqi ravon ish stajiga ega bo?lgan muloqotga kirishimli va ma'lumotlarni to'g'ri taxlil qilib bera oladigon operator qizlar.","uz","2024-09-21 15:45:52","1","0","2024-09-21 15:45:52","2024-09-21 15:45:52"
"632","1","69100","Call Center Manager","not defined","Full-Time","3.000.000 dan 10.000.000","Call center sotuv menijeri lavozimiga mas'uliyatli va intizomli yigit qizlarni qabul qilish.","uz","2024-09-21 15:45:52","1","0","2024-09-21 15:45:52","2024-09-21 17:06:09"
"633","1","70100","?????????? ?? ??? ??????","SEOUL LAND","Full-Time","4,500,000 - 6,000,000 ??? ????? + (???? ?? ????)","?????????? ??????? ????? ?????","uz","2024-09-21 15:45:52","1","0","2024-09-21 15:45:52","2024-09-21 15:45:52"
"634","1","71100","????????-??????????? ? ??????? ??????? ??????","In Avanti","Full-Time","4.000.000 UZS","????????-??????????? ? ??????? ??????? ?????? In Avanti","uz","2024-09-21 15:45:53","1","0","2024-09-21 15:45:53","2024-09-21 15:45:53"
"635","1","72100","Kompyuter xizmatlari koÆrsatuvchisi","not defined","Full-Time","2,000,000 - 5,000,000 O'zbek so'mi","Kompyuter xizmatlari koÆrsatuvchi ofisimizga mijozlarimizga yuqori sifatli xizmat koÆrsatish uchun tajribali va kompyuter texnologiyalarini yaxshi biladigan xodim qidilirmoqda.","uz","2024-09-21 15:45:53","1","0","2024-09-21 15:45:53","2024-09-21 17:06:09"
"636","1","73100","???????? ???????","not defined","Full-Time","4 ?????????? 6 ???????????","???? ??????? ???????","uz","2024-09-21 15:45:54","1","0","2024-09-21 15:45:54","2024-09-21 17:06:09"
